Region,Year,Median
Asia,1990,22.667202
Asia,1995,23.992197
Asia,2000,23.272947
Asia,2005,23.031786
Asia,2010,23.636364
Asia,2015,24.144279
Asia,2018,23.85075
FSU,1990,14.41729
FSU,1995,12.217227
FSU,2000,12.876529
FSU,2005,13.42329
FSU,2010,15.95747
FSU,2015,14.670517
FSU,2018,14.633653
HIC,1990,18.004694
HIC,1995,17.255432
HIC,2000,17.310982
HIC,2005,16.213366
HIC,2010,16.664673
HIC,2015,17.823025
HIC,2018,18.158527
LAC,1990,45.536587
LAC,1995,50.612061
LAC,2000,50.035217
LAC,2005,46.706551
LAC,2010,49.836704
LAC,2015,47.175179
LAC,2018,47.533459
MENA,1990,28.939001
MENA,1995,25.161253
MENA,2000,26.40354
MENA,2005,29.544239
MENA,2010,29.376595
MENA,2015,26.584961
MENA,2018,27.375023
SAARC,1990,26.599085
SAARC,1995,27.682737
SAARC,2000,29.595074
SAARC,2005,30.632439
SAARC,2010,30.291176
SAARC,2015,27.281492
SAARC,2018,26.510902
SSA,1990,27.798845
SSA,1995,28.578251
SSA,2000,27.331051
SSA,2005,27.106939
SSA,2010,28.211599
SSA,2015,27.537596
SSA,2018,26.611206
