Region,Year,Median
Asia,1990,1.6406578
Asia,1995,2.301605
Asia,2000,3.1945336
Asia,2005,3.6885419
Asia,2010,5.9433346
Asia,2015,6.4230666
Asia,2018,8.5262709
FSU,1990,3.4448216
FSU,1995,4.686275
FSU,2000,5.3912525
FSU,2005,9.2394056
FSU,2010,10.773131
FSU,2015,11.589015
FSU,2018,14.717771
HIC,1990,3.3564277
HIC,1995,3.2749829
HIC,2000,4.3469849
HIC,2005,5.6438475
HIC,2010,6.4895272
HIC,2015,6.7673135
HIC,2018,7.9618506
LAC,1990,1.1188539
LAC,1995,1.1681577
LAC,2000,1.8098892
LAC,2005,2.049751
LAC,2010,3.0463419
LAC,2015,2.8406382
LAC,2018,6.0962839
MENA,1990,6.4147325
MENA,1995,6.0699859
MENA,2000,5.8821812
MENA,2005,6.4466238
MENA,2010,9.3755169
MENA,2015,11.044518
MENA,2018,10.966414
SAARC,1990,2.6371205
SAARC,1995,2.8335109
SAARC,2000,3.0659838
SAARC,2005,3.3634496
SAARC,2010,4.3664742
SAARC,2015,4.0775328
SAARC,2018,3.724401
SSA,1990,5.9993172
SSA,1995,6.5359182
SSA,2000,7.9221797
SSA,2005,9.2728786
SSA,2010,13.120856
SSA,2015,11.768723
SSA,2018,11.088121
