"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Obesity, adolescents aged 10–19","","2022","","African Region","Total","","3.1926341","2.5251774","4.004417","",
"Obesity, adolescents aged 10–19","","2022","","African Region","Males","","3.2268364","2.1389799","4.6221491","",
"Obesity, adolescents aged 10–19","","2022","","African Region","Females","","3.1578001","2.4781767","4.0245093","",
"Obesity, adolescents aged 10–19","","2022","","Eastern Mediterranean Region","Total","","10.832689","9.2549115","12.558281","",
"Obesity, adolescents aged 10–19","","2022","","Eastern Mediterranean Region","Males","","11.395505","9.0008259","14.0726","",
"Obesity, adolescents aged 10–19","","2022","","Eastern Mediterranean Region","Females","","10.24374","8.1769675","12.527825","",
"Obesity, adolescents aged 10–19","","2022","","European Region","Total","","6.8284675","6.141435","7.5863384","",
"Obesity, adolescents aged 10–19","","2022","","European Region","Males","","7.7809617","6.7126133","9.0142831","",
"Obesity, adolescents aged 10–19","","2022","","European Region","Females","","5.8230661","4.9972616","6.7358345","",
"Obesity, adolescents aged 10–19","","2022","","Global","Total","","7.1813531","6.6923469","7.68442","",
"Obesity, adolescents aged 10–19","","2022","","Global","Males","","8.115457","7.3137209","8.9076184","",
"Obesity, adolescents aged 10–19","","2022","","Global","Females","","6.1843928","5.6441702","6.8189308","",
"Obesity, adolescents aged 10–19","","2022","","Region of the Americas","Total","","15.948498","14.60371","17.310315","",
"Obesity, adolescents aged 10–19","","2022","","Region of the Americas","Males","","17.07536","15.051261","19.10532","",
"Obesity, adolescents aged 10–19","","2022","","Region of the Americas","Females","","14.776739","13.044636","16.592355","",
"Obesity, adolescents aged 10–19","","2022","","South-East Asian Region","Total","","3.7211243","3.0737698","4.4567224","",
"Obesity, adolescents aged 10–19","","2022","","South-East Asian Region","Males","","4.0760297","3.0907173","5.2517723","",
"Obesity, adolescents aged 10–19","","2022","","South-East Asian Region","Females","","3.3363685","2.5536781","4.3041434","",
"Obesity, adolescents aged 10–19","","2022","","Western Pacific Region","Total","","9.091638","7.5089827","10.795712","",
"Obesity, adolescents aged 10–19","","2022","","Western Pacific Region","Males","","11.919834","9.2678599","14.689712","",
"Obesity, adolescents aged 10–19","","2022","","Western Pacific Region","Females","","5.8704726","4.4489551","7.6652922","",
"Obesity, adolescents aged 10–19","","2022","Afghanistan","Eastern Mediterranean Region","Total","","7.8092046","4.129567","12.787648","",
"Obesity, adolescents aged 10–19","","2022","Afghanistan","Eastern Mediterranean Region","Males","","7.551986","2.3513654","15.762709","",
"Obesity, adolescents aged 10–19","","2022","Afghanistan","Eastern Mediterranean Region","Females","","8.0794789","3.8779858","14.099605","",
"Obesity, adolescents aged 10–19","","2022","Albania","European Region","Total","","5.8261286","3.8115025","8.3777122","",
"Obesity, adolescents aged 10–19","","2022","Albania","European Region","Males","","7.2637759","3.9483827","11.560798","",
"Obesity, adolescents aged 10–19","","2022","Albania","European Region","Females","","4.3332506","2.2278067","7.1466528","",
"Obesity, adolescents aged 10–19","","2022","Algeria","African Region","Total","","14.738941","8.4905677","22.527409","",
"Obesity, adolescents aged 10–19","","2022","Algeria","African Region","Males","","14.648126","5.4931596","26.552045","",
"Obesity, adolescents aged 10–19","","2022","Algeria","African Region","Females","","14.83404","6.7917041","25.015289","",
