Region,Year,Median
Asia,1990,59.927696
Asia,1995,59.246593
Asia,2000,58.933144
Asia,2005,58.618008
Asia,2010,58.32719
Asia,2015,59.265347
Asia,2018,59.489254
FSU,1990,48.815754
FSU,1995,49.77919
FSU,2000,49.911884
FSU,2005,49.446136
FSU,2010,49.12077
FSU,2015,49.159401
FSU,2018,49.157192
HIC,1990,48.89938
HIC,1995,48.872829
HIC,2000,48.742317
HIC,2005,48.633888
HIC,2010,48.349098
HIC,2015,48.498024
HIC,2018,48.483917
LAC,1990,56.232876
LAC,1995,55.934704
LAC,2000,55.262291
LAC,2005,55.135265
LAC,2010,54.728546
LAC,2015,55.285225
LAC,2018,55.27626
MENA,1990,56.259796
MENA,1995,55.898602
MENA,2000,55.851425
MENA,2005,55.50449
MENA,2010,55.016724
MENA,2015,55.422359
MENA,2018,55.40823
SAARC,1990,66.969566
SAARC,1995,66.565422
SAARC,2000,66.27861
SAARC,2005,65.798302
SAARC,2010,65.43367
SAARC,2015,65.815712
SAARC,2018,65.833488
SSA,1990,61.483528
SSA,1995,61.534039
SSA,2000,61.66552
SSA,2005,61.369705
SSA,2010,61.359585
SSA,2015,61.501514
SSA,2018,61.453972
