Region,Year,Median
Asia,1990,5.1567559
Asia,1995,7.3163362
Asia,2000,10.512751
Asia,2005,12.912641
Asia,2010,16.179993
Asia,2015,17.125763
Asia,2018,17.523685
FSU,1990,14.330514
FSU,1995,16.994112
FSU,2000,16.444656
FSU,2005,20.25378
FSU,2010,20.959309
FSU,2015,21.641535
FSU,2018,21.411274
HIC,1990,21.557888
HIC,1995,17.088093
HIC,2000,21.735945
HIC,2005,18.054678
HIC,2010,17.399374
HIC,2015,17.401525
HIC,2018,16.41917
LAC,1990,12.825736
LAC,1995,15.133673
LAC,2000,17.312887
LAC,2005,16.187801
LAC,2010,15.21792
LAC,2015,16.022449
LAC,2018,18.401655
MENA,1990,22.903057
MENA,1995,20.671413
MENA,2000,22.78705
MENA,2005,24.263693
MENA,2010,26.299229
MENA,2015,29.277161
MENA,2018,29.297058
SAARC,1990,23.254477
SAARC,1995,23.499434
SAARC,2000,24.883797
SAARC,2005,23.762211
SAARC,2010,24.923592
SAARC,2015,27.261595
SAARC,2018,27.629572
SSA,1990,18.426504
SSA,1995,19.288252
SSA,2000,19.580086
SSA,2005,20.53746
SSA,2010,21.385996
SSA,2015,21.845232
SSA,2018,22.00736
