Region,Year,Median
Asia,1990,80.250549
Asia,1995,86.547905
Asia,2000,89.588074
Asia,2005,94.21637
Asia,2010,95.027054
Asia,2015,88.895218
Asia,2018,87.914856
FSU,1990,89.03141
FSU,1995,89.259048
FSU,2000,90.479622
FSU,2005,102.88296
FSU,2010,104.68636
FSU,2015,109.76514
FSU,2018,113.65839
HIC,1990,102.53931
HIC,1995,100.76994
HIC,2000,108.93423
HIC,2005,112.38207
HIC,2010,109.59917
HIC,2015,108.21174
HIC,2018,115.04325
LAC,1990,87.448639
LAC,1995,96.92617
LAC,2000,108.27998
LAC,2005,107.94093
LAC,2010,108.10973
LAC,2015,107.757
LAC,2018,111.12483
MENA,1990,92.409889
MENA,1995,95.611115
MENA,2000,100.12316
MENA,2005,104.61593
MENA,2010,104.5514
MENA,2015,104.59911
MENA,2018,106.14435
SAARC,1990,35.42691
SAARC,1995,37.749401
SAARC,2000,40.006683
SAARC,2005,41.925598
SAARC,2010,44.042923
SAARC,2015,38.981316
SAARC,2018,38.503357
SSA,1990,64.169098
SSA,1995,62.746323
SSA,2000,65.505386
SSA,2005,66.607979
SSA,2010,68.914612
SSA,2015,67.193939
SSA,2018,64.981705
