Region,Year,Median
Asia,1990,16.273018
Asia,1995,15.043611
Asia,2000,14.395198
Asia,2005,12.632855
Asia,2010,12.335519
Asia,2015,12.064903
Asia,2018,12.132374
FSU,1990,17.027388
FSU,1995,15.68831
FSU,2000,13.303801
FSU,2005,13.181523
FSU,2010,13.004859
FSU,2015,12.757267
FSU,2018,12.263238
HIC,1990,13.038625
HIC,1995,12.830842
HIC,2000,12.387336
HIC,2005,12.250854
HIC,2010,12.339572
HIC,2015,12.125321
HIC,2018,11.916124
LAC,1990,15.356761
LAC,1995,14.651912
LAC,2000,13.614799
LAC,2005,12.848484
LAC,2010,11.823581
LAC,2015,11.855343
LAC,2018,12.215937
MENA,1990,14.232771
MENA,1995,15.239258
MENA,2000,14.05038
MENA,2005,13.431094
MENA,2010,13.739343
MENA,2015,13.489346
MENA,2018,13.331139
SAARC,1990,11.845535
SAARC,1995,12.733153
SAARC,2000,12.599265
SAARC,2005,12.256015
SAARC,2010,11.764093
SAARC,2015,11.866058
SAARC,2018,11.328693
SSA,1990,17.734591
SSA,1995,17.106283
SSA,2000,16.795187
SSA,2005,16.300341
SSA,2010,15.493157
SSA,2015,15.089567
SSA,2018,15.145223
