Region,Year,Median
Asia,1990,45.619865
Asia,1995,57.260944
Asia,2000,63.451336
Asia,2005,67.758827
Asia,2010,75.248291
Asia,2015,70.452431
Asia,2018,71.221077
FSU,1990,66.519188
FSU,1995,82.25695
FSU,2000,79.142426
FSU,2005,77.463547
FSU,2010,77.446526
FSU,2015,74.901672
FSU,2018,76.248352
HIC,1990,82.951385
HIC,1995,80.648972
HIC,2000,78.55748
HIC,2005,75.744835
HIC,2010,80.274834
HIC,2015,79.939438
HIC,2018,79.613045
LAC,1990,59.980526
LAC,1995,66.042068
LAC,2000,71.23658
LAC,2005,70.878891
LAC,2010,74.502686
LAC,2015,73.066429
LAC,2018,75.313011
MENA,1990,61.128754
MENA,1995,58.561893
MENA,2000,65.958244
MENA,2005,69.209694
MENA,2010,75.03949
MENA,2015,74.692146
MENA,2018,74.178329
SAARC,1990,42.588699
SAARC,1995,45.853916
SAARC,2000,43.767647
SAARC,2005,42.807335
SAARC,2010,46.910667
SAARC,2015,45.640694
SAARC,2018,45.450958
SSA,1990,50.216183
SSA,1995,50.504333
SSA,2000,51.778885
SSA,2005,52.392643
SSA,2010,56.072445
SSA,2015,53.55381
SSA,2018,54.295063
