Region,Year,Median
Asia,1990,9.5082588
Asia,1995,10.094929
Asia,2000,10.663772
Asia,2005,11.104365
Asia,2010,11.526682
Asia,2015,11.360665
Asia,2018,11.331058
FSU,1990,13.23624
FSU,1995,11.947027
FSU,2000,11.506665
FSU,2005,11.836553
FSU,2010,11.936892
FSU,2015,11.883312
FSU,2018,11.875203
HIC,1990,12.938869
HIC,1995,12.799638
HIC,2000,12.706781
HIC,2005,12.735906
HIC,2010,12.888222
HIC,2015,12.802618
HIC,2018,12.795424
LAC,1990,8.5834837
LAC,1995,8.8971672
LAC,2000,9.4516706
LAC,2005,9.6124563
LAC,2010,9.922205
LAC,2015,9.668644
LAC,2018,9.6614828
MENA,1990,9.3667564
MENA,1995,9.6259089
MENA,2000,9.6744423
MENA,2005,10.008634
MENA,2010,10.281645
MENA,2015,10.147696
MENA,2018,10.130199
SAARC,1990,5.3187537
SAARC,1995,5.6352425
SAARC,2000,5.7773814
SAARC,2005,6.1510949
SAARC,2010,6.3759141
SAARC,2015,6.1495514
SAARC,2018,6.1364894
SSA,1990,10.908698
SSA,1995,10.601654
SSA,2000,9.5865889
SSA,2005,9.9273367
SSA,2010,9.8387842
SSA,2015,9.7076426
SSA,2018,9.6992941
