Region,Year,Median
Asia,1990,2936.8193
Asia,1995,3119.0627
Asia,2000,3249.9976
Asia,2005,3336.1443
Asia,2010,3407.7366
Asia,2015,3396.6619
Asia,2018,3394.6689
FSU,1990,2811.4312
FSU,1995,2748.6428
FSU,2000,2722.9961
FSU,2005,2775.7776
FSU,2010,2748.6838
FSU,2015,2824.9399
FSU,2018,2811.8384
HIC,1990,2728.9082
HIC,1995,2740.2888
HIC,2000,2760.5166
HIC,2005,2765.092
HIC,2010,2766.5422
HIC,2015,2765.4397
HIC,2018,2768.6099
LAC,1990,2308.6584
LAC,1995,2336.8911
LAC,2000,2369.012
LAC,2005,2373.2341
LAC,2010,2413.4175
LAC,2015,2499.5952
LAC,2018,2501.6089
MENA,1990,2657.7524
MENA,1995,2707.3962
MENA,2000,2787.988
MENA,2005,2823.3196
MENA,2010,2901.3472
MENA,2015,2891.2129
MENA,2018,2887.3149
SAARC,1990,2656.8645
SAARC,1995,2725.7505
SAARC,2000,2737.6792
SAARC,2005,2734.3027
SAARC,2010,2807.9265
SAARC,2015,2947.3113
SAARC,2018,2959.6511
SSA,1990,2043.1268
SSA,1995,2058.7571
SSA,2000,2015.3844
SSA,2005,2026.8387
SSA,2010,2030.8619
SSA,2015,2022.7397
SSA,2018,2028.5381
