Ingredient,Region,Count
soysauce,Chinese and Mongolian,1770
salt,Chinese and Mongolian,1524
water,Chinese and Mongolian,1251
ginger,Chinese and Mongolian,1154
garlicclove,Chinese and Mongolian,1111
garlicclove,Thai,565
fishsauce,Thai,560
limejuice,Thai,491
soysauce,Thai,462
ginger,Thai,457
salt,Indian Subcontinent,1794
onion,Indian Subcontinent,1094
water,Indian Subcontinent,828
ginger,Indian Subcontinent,674
oil,Indian Subcontinent,654
garlicclove,Southeast Asian,570
salt,Southeast Asian,555
sugar,Southeast Asian,548
water,Southeast Asian,518
fishsauce,Southeast Asian,400
salt,Middle Eastern,1520
onion,Middle Eastern,1062
oliveoil,Middle Eastern,1039
water,Middle Eastern,1033
garlicclove,Middle Eastern,952
salt,Rest Africa,698
onion,Rest Africa,552
water,Rest Africa,438
garlicclove,Rest Africa,420
oliveoil,Rest Africa,345
oliveoil,Northern Africa,319
salt,Northern Africa,250
cumin,Northern Africa,249
garlicclove,Northern Africa,227
cinnamon,Northern Africa,220
soysauce,Korean,330
sesameoil,Korean,236
greenonion,Korean,222
garlicclove,Korean,209
garlic,Korean,203
soysauce,Japanese,797
sugar,Japanese,434
salt,Japanese,428
water,Japanese,407
ginger,Japanese,397
butter,Australian,1523
garlicclove,Australian,1300
oliveoil,Australian,1254
egg,Australian,1182
salt,Australian,1047
salt,Mexican,3034
onion,Mexican,2937
garlicclove,Mexican,2393
cilantro,Mexican,2148
cumin,Mexican,2100
salt,Caribbean,334
onion,Caribbean,257
garlicclove,Caribbean,195
water,Caribbean,188
limejuice,Caribbean,186
garlic,South American,48
salt,South American,43
onion,South American,36
water,South American,31
oliveoil,South American,28
salt,Eastern European,180
butter,Eastern European,156
onion,Eastern European,156
egg,Eastern European,106
water,Eastern European,101
salt,Scandinavian,187
butter,Scandinavian,178
egg,Scandinavian,114
sugar,Scandinavian,114
water,Scandinavian,96
butter,UK,91
egg,UK,62
purposeflour,UK,58
whitesugar,UK,57
salt,UK,55
butter,Belgian,124
salt,Belgian,123
egg,Belgian,82
sugar,Belgian,72
onion,Belgian,72
salt,Deutschland ,395
butter,Deutschland ,342
egg,Deutschland ,265
onion,Deutschland ,261
sugar,Deutschland ,255
garlic,Greek,94
oliveoil,Greek,82
fetacheese,Greek,63
salt,Greek,57
onion,Greek,48
butter,French,88
salt,French,60
garlic,French,55
oliveoil,French,47
purposeflour,French,46
oliveoil,Spanish and Portuguese,459
garlicclove,Spanish and Portuguese,415
salt,Spanish and Portuguese,386
onion,Spanish and Portuguese,314
paprika,Spanish and Portuguese,227
oliveoil,Italian,1440
salt,Italian,1180
garlicclove,Italian,1112
parmesancheese,Italian,1108
garlic,Italian,1040
butter,Irish,275
salt,Irish,205
egg,Irish,142
onion,Irish,140
sugar,Irish,131
salt,US,609
butter,US,537
garlic,US,474
onion,US,441
blackpepper,US,408
salt,Canadian,6
water,Canadian,6
whitesugar,Canadian,6
egg,Canadian,6
bakingpowder,Canadian,6
