superregion2,iso3,age,female,urban,edu,year,varnum,v05_type,v05_type_desc,Median,serving,country name
SAARC,AFG,999.0,999,999,999,2018,5,1,1: Foods & Beverages,103.830266187879,1.1183786,Afghanistan
SSA,AGO,999.0,999,999,999,2018,5,1,1: Foods & Beverages,37.7995569546306,0.41338098,Angola
FSU,ALB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,40.1813612518816,0.41360125,Albania
MENA,ARE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,40.5638072899798,0.41595373,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,5,1,1: Foods & Beverages,3.57500916483534,0.03724356,Argentina
FSU,ARM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,14.7079982406071,0.15224095,Armenia
LAC,ATG,999.0,999,999,999,2018,5,1,1: Foods & Beverages,43.4996331916561,0.45147517,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,5,1,1: Foods & Beverages,23.1850047911062,0.23929203,Australia
HIC,AUT,999.0,999,999,999,2018,5,1,1: Foods & Beverages,6.4253656824737,0.065779746,Austria
FSU,AZE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,14.5544381751007,0.15187767,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,5,1,1: Foods & Beverages,40.5285554973658,0.44259644,Burundi
HIC,BEL,999.0,999,999,999,2018,5,1,1: Foods & Beverages,4.54548555225357,0.046687402,Belgium
SSA,BEN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,24.7368819652686,0.26777315,Benin
SSA,BFA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,9.133057645781133,0.09932635,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,5,1,1: Foods & Beverages,28.9049466105173,0.30194241,Bangladesh
FSU,BGR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,18.0935848901703,0.18483588,Bulgaria
MENA,BHR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,38.7330139785563,0.400424,Bahrain
LAC,BHS,999.0,999,999,999,2018,5,1,1: Foods & Beverages,17.9143894249535,0.185066,Bahamas
