Region,iso3,age,female,urban,edu,year,varnum,v06_type,v06_type_desc,Median,serving,country name
SAARC,AFG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,31.2056945432745,1.1105229,Afghanistan
SSA,AGO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.6122457357973,0.41398382,Angola
FSU,ALB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.2727712037474,0.43443438,Albania
MENA,ARE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,31.7293794737335,1.1227664,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,1.56476860854843,0.055468582,Argentina
FSU,ARM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,18.9043361676814,0.66965413,Armenia
LAC,ATG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.51891631064462,0.089259967,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.38098061333479,0.26136616,Australia
HIC,AUT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,5.3898140554321,0.1906549,Austria
FSU,AZE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,32.6994683393339,1.1595556,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.51109043892518,0.23212445,Burundi
HIC,BEL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.36292100574815,0.11899932,Belgium
SSA,BEN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.9754438772722,0.46208847,Benin
SSA,BFA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,21.7684164704433,0.77550471,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.665211321808644,0.023589054,Bangladesh
FSU,BGR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.4996041816377,0.40663379,Bulgaria
MENA,BHR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,21.4619072425758,0.75998259,Bahrain
LAC,BHS,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.94456954869087,0.35214481,Bahamas
FSU,BIH,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.76859127875942,0.31006333,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,10.9145544673898,0.38635591,Belarus
LAC,BLZ,999.0,999,999,999,2018,6,1,1: Foods & Beverages,2.20600134625304,0.07828252,Belize
LAC,BOL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.6447006571747,0.41322571,Bolivia
LAC,BRA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.232899208504795,0.0082500605,Brazil
LAC,BRB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.74931510194536,0.30960068,Barbados
Asia,BRN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,4.22032077150063,0.14955071,Brunei
SAARC,BTN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.55580685599336,0.23239303,Bhutan
SSA,BWA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,39.7024973806986,1.4103907,Botswana
SSA,CAF,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.87416616922848,0.28031918,Central African Republic
HIC,CAN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,17.3307319764595,0.61326015,Canada
HIC,CHE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.92542421033354,0.24506101,Switzerland
LAC,CHL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,17.8910666152025,0.63353634,Chile
Asia,CHN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.369656239277893,0.33166924,China
SSA,CIV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.57252340299176,0.34078047,Côte d'Ivoire
SSA,CMR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,14.9427967035482,0.53196144,Cameroon
SSA,COD,999.0,999,999,999,2018,6,1,1: Foods & Beverages,25.9858711503437,0.92641252,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.86741432016388,0.35127854,Republic of Congo
LAC,COL,999.0,999,999,999,2018,6,1,1: Foods & Beverages,45.1482623481617,1.5993009,Colombia
SSA,COM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.89344854195949,0.28080571,Comoros
SSA,CPV,999.0,999,999,999,2018,6,1,1: Foods & Beverages,15.0110540944604,0.53249568,Cape Verde
LAC,CRI,999.0,999,999,999,2018,6,1,1: Foods & Beverages,8.58101018744697,0.30396777,Costa Rica
