Region,iso3,age,female,urban,edu,year,varnum,v22_type,v22_type_desc,Median,country name
SAARC,AFG,999.0,999,999,999,2018,22,2,2: Macronutrients,67.4761279371533,Afghanistan
SSA,AGO,999.0,999,999,999,2018,22,2,2: Macronutrients,60.1151303030857,Angola
FSU,ALB,999.0,999,999,999,2018,22,2,2: Macronutrients,50.3201395179408,Albania
MENA,ARE,999.0,999,999,999,2018,22,2,2: Macronutrients,58.2265815020098,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,22,2,2: Macronutrients,49.4621336157396,Argentina
FSU,ARM,999.0,999,999,999,2018,22,2,2: Macronutrients,51.2095456144366,Armenia
LAC,ATG,999.0,999,999,999,2018,22,2,2: Macronutrients,56.8708760388201,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,22,2,2: Macronutrients,46.4730659724017,Australia
HIC,AUT,999.0,999,999,999,2018,22,2,2: Macronutrients,46.6104962094606,Austria
FSU,AZE,999.0,999,999,999,2018,22,2,2: Macronutrients,52.8050114760841,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,22,2,2: Macronutrients,62.9678211675319,Burundi
HIC,BEL,999.0,999,999,999,2018,22,2,2: Macronutrients,50.5098912676803,Belgium
SSA,BEN,999.0,999,999,999,2018,22,2,2: Macronutrients,62.0840914360198,Benin
SSA,BFA,999.0,999,999,999,2018,22,2,2: Macronutrients,68.6154941758736,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,22,2,2: Macronutrients,74.0272279861554,Bangladesh
FSU,BGR,999.0,999,999,999,2018,22,2,2: Macronutrients,52.0324632718637,Bulgaria
MENA,BHR,999.0,999,999,999,2018,22,2,2: Macronutrients,53.8597144867398,Bahrain
LAC,BHS,999.0,999,999,999,2018,22,2,2: Macronutrients,54.9132631159892,Bahamas
FSU,BIH,999.0,999,999,999,2018,22,2,2: Macronutrients,51.0710698981846,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,22,2,2: Macronutrients,47.1860694023314,Belarus
LAC,BLZ,999.0,999,999,999,2018,22,2,2: Macronutrients,57.8762363831784,Belize
LAC,BOL,999.0,999,999,999,2018,22,2,2: Macronutrients,48.8202899495434,Bolivia
LAC,BRA,999.0,999,999,999,2018,22,2,2: Macronutrients,52.8712884604651,Brazil
LAC,BRB,999.0,999,999,999,2018,22,2,2: Macronutrients,56.8119303939127,Barbados
Asia,BRN,999.0,999,999,999,2018,22,2,2: Macronutrients,58.7076563864396,Brunei
SAARC,BTN,999.0,999,999,999,2018,22,2,2: Macronutrients,68.1969319949735,Bhutan
SSA,BWA,999.0,999,999,999,2018,22,2,2: Macronutrients,57.7711119762238,Botswana
SSA,CAF,999.0,999,999,999,2018,22,2,2: Macronutrients,60.8118627250923,Central African Republic
HIC,CAN,999.0,999,999,999,2018,22,2,2: Macronutrients,49.5681235993765,Canada
HIC,CHE,999.0,999,999,999,2018,22,2,2: Macronutrients,46.0480369026859,Switzerland
LAC,CHL,999.0,999,999,999,2018,22,2,2: Macronutrients,61.3104487895346,Chile
Asia,CHN,999.0,999,999,999,2018,22,2,2: Macronutrients,59.942801068222,China
SSA,CIV,999.0,999,999,999,2018,22,2,2: Macronutrients,62.3998179459533,Côte d'Ivoire
SSA,CMR,999.0,999,999,999,2018,22,2,2: Macronutrients,51.3237202384515,Cameroon
SSA,COD,999.0,999,999,999,2018,22,2,2: Macronutrients,54.8128718574774,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,22,2,2: Macronutrients,61.0977762569802,Republic of Congo
LAC,COL,999.0,999,999,999,2018,22,2,2: Macronutrients,49.7425139646959,Colombia
SSA,COM,999.0,999,999,999,2018,22,2,2: Macronutrients,61.6418865028528,Comoros
SSA,CPV,999.0,999,999,999,2018,22,2,2: Macronutrients,57.7782168625917,Cape Verde
LAC,CRI,999.0,999,999,999,2018,22,2,2: Macronutrients,55.9057941790394,Costa Rica
LAC,CUB,999.0,999,999,999,2018,22,2,2: Macronutrients,58.3837422592262,Cuba
HIC,CYP,999.0,999,999,999,2018,22,2,2: Macronutrients,47.7210505012439,Cyprus
FSU,CZE,999.0,999,999,999,2018,22,2,2: Macronutrients,46.3127093581379,Czech Republic
HIC,DEU,999.0,999,999,999,2018,22,2,2: Macronutrients,46.1043799845647,Germany
SSA,DJI,999.0,999,999,999,2018,22,2,2: Macronutrients,59.2683799955981,Djibouti
LAC,DMA,999.0,999,999,999,2018,22,2,2: Macronutrients,57.744690626584,Dominica
HIC,DNK,999.0,999,999,999,2018,22,2,2: Macronutrients,47.5777848299479,Denmark
LAC,DOM,999.0,999,999,999,2018,22,2,2: Macronutrients,55.8727356685074,Dominican Republic
MENA,DZA,999.0,999,999,999,2018,22,2,2: Macronutrients,56.3239008282898,Algeria
LAC,ECU,999.0,999,999,999,2018,22,2,2: Macronutrients,62.2069705001957,Ecuador
MENA,EGY,999.0,999,999,999,2018,22,2,2: Macronutrients,57.4602570023539,Egypt
SSA,ERI,999.0,999,999,999,2018,22,2,2: Macronutrients,61.4018425615175,Eritrea
HIC,ESP,999.0,999,999,999,2018,22,2,2: Macronutrients,46.3981736673495,Spain
FSU,EST,999.0,999,999,999,2018,22,2,2: Macronutrients,47.9853074018184,Estonia
SSA,ETH,999.0,999,999,999,2018,22,2,2: Macronutrients,65.6807901702984,Ethiopia
HIC,FIN,999.0,999,999,999,2018,22,2,2: Macronutrients,44.0416054735478,Finland
Asia,FJI,999.0,999,999,999,2018,22,2,2: Macronutrients,58.189776000286,Fiji
HIC,FRA,999.0,999,999,999,2018,22,2,2: Macronutrients,43.2019343537099,France
Asia,FSM,999.0,999,999,999,2018,22,2,2: Macronutrients,58.5514523209958,Micronesia
SSA,GAB,999.0,999,999,999,2018,22,2,2: Macronutrients,57.8744315945205,Gabon
HIC,GBR,999.0,999,999,999,2018,22,2,2: Macronutrients,56.2499674768126,United Kingdom
FSU,GEO,999.0,999,999,999,2018,22,2,2: Macronutrients,51.8251863487589,Georgia
SSA,GHA,999.0,999,999,999,2018,22,2,2: Macronutrients,68.9023676599879,Ghana
SSA,GIN,999.0,999,999,999,2018,22,2,2: Macronutrients,62.8984055135554,Guinea
SSA,GMB,999.0,999,999,999,2018,22,2,2: Macronutrients,61.2638356942636,Gambia
SSA,GNB,999.0,999,999,999,2018,22,2,2: Macronutrients,60.416867205112,Guinea-Bissau
SSA,GNQ,999.0,999,999,999,2018,22,2,2: Macronutrients,59.2508754329491,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,22,2,2: Macronutrients,47.517558903888,Greece
LAC,GRD,999.0,999,999,999,2018,22,2,2: Macronutrients,56.0847387360271,Grenada
LAC,GTM,999.0,999,999,999,2018,22,2,2: Macronutrients,68.4945892206605,Guatemala
LAC,GUY,999.0,999,999,999,2018,22,2,2: Macronutrients,59.6018402043956,Guyana
LAC,HND,999.0,999,999,999,2018,22,2,2: Macronutrients,58.9270763666684,Honduras
FSU,HRV,999.0,999,999,999,2018,22,2,2: Macronutrients,48.4679290552421,Croatia
LAC,HTI,999.0,999,999,999,2018,22,2,2: Macronutrients,58.897988825271,Haiti
FSU,HUN,999.0,999,999,999,2018,22,2,2: Macronutrients,45.9973047324724,Hungary
Asia,IDN,999.0,999,999,999,2018,22,2,2: Macronutrients,58.9947336889943,Indonesia
SAARC,IND,999.0,999,999,999,2018,22,2,2: Macronutrients,64.2341323291089,India
HIC,IRL,999.0,999,999,999,2018,22,2,2: Macronutrients,47.4069185821222,Ireland
MENA,IRN,999.0,999,999,999,2018,22,2,2: Macronutrients,58.9317214151846,Iran
MENA,IRQ,999.0,999,999,999,2018,22,2,2: Macronutrients,55.7518744109945,Iraq
HIC,ISL,999.0,999,999,999,2018,22,2,2: Macronutrients,47.9414900034839,Iceland
MENA,ISR,999.0,999,999,999,2018,22,2,2: Macronutrients,51.7761901956685,Israel
HIC,ITA,999.0,999,999,999,2018,22,2,2: Macronutrients,43.9359725018975,Italy
LAC,JAM,999.0,999,999,999,2018,22,2,2: Macronutrients,56.4134699026709,Jamaica
MENA,JOR,999.0,999,999,999,2018,22,2,2: Macronutrients,61.9398914869285,Jordan
Asia,JPN,999.0,999,999,999,2018,22,2,2: Macronutrients,48.3144327005172,Japan
FSU,KAZ,999.0,999,999,999,2018,22,2,2: Macronutrients,48.4638267962747,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,22,2,2: Macronutrients,63.7967385065832,Kenya
FSU,KGZ,999.0,999,999,999,2018,22,2,2: Macronutrients,51.5076853985431,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,22,2,2: Macronutrients,59.7563088252235,Cambodia
Asia,KIR,999.0,999,999,999,2018,22,2,2: Macronutrients,57.884072937566,Kiribati
Asia,KOR,999.0,999,999,999,2018,22,2,2: Macronutrients,62.1905362912313,South Korea
MENA,KWT,999.0,999,999,999,2018,22,2,2: Macronutrients,53.0592567563008,Kuwait
Asia,LAO,999.0,999,999,999,2018,22,2,2: Macronutrients,69.3499398703599,Laos
MENA,LBN,999.0,999,999,999,2018,22,2,2: Macronutrients,43.0762320324999,Lebanon
SSA,LBR,999.0,999,999,999,2018,22,2,2: Macronutrients,59.4835776246903,Liberia
