superregion2,iso3,age,female,urban,edu,year,varnum,v23_type,v23_type_desc,median,upperci_95,lowerci_95
SAARC,AFG,999.0,999,999,999,2018,23,2,2: Macronutrients,59.1502741523475,73.3471390075333,48.5387081407221
SSA,AGO,999.0,999,999,999,2018,23,2,2: Macronutrients,37.8145441317716,44.5631499101375,31.9135877604368
FSU,ALB,999.0,999,999,999,2018,23,2,2: Macronutrients,66.6630408499174,81.0786509427573,55.3585457284808
MENA,ARE,999.0,999,999,999,2018,23,2,2: Macronutrients,80.1111782379218,85.4411401140347,75.1643481314249
LAC,ARG,999.0,999,999,999,2018,23,2,2: Macronutrients,76.5775670732638,80.117031593405,73.2023907715752
FSU,ARM,999.0,999,999,999,2018,23,2,2: Macronutrients,102.427037720816,126.026090063856,84.3470466912878
LAC,ATG,999.0,999,999,999,2018,23,2,2: Macronutrients,96.2619802640029,116.197995124106,80.8804696566077
HIC,AUS,999.0,999,999,999,2018,23,2,2: Macronutrients,73.7025287355427,84.9388318642945,64.4505316859741
HIC,AUT,999.0,999,999,999,2018,23,2,2: Macronutrients,61.6851453108819,70.3149679337449,53.8286604700676
FSU,AZE,999.0,999,999,999,2018,23,2,2: Macronutrients,101.857018353247,126.120356552599,83.4563480467646
SSA,BDI,999.0,999,999,999,2018,23,2,2: Macronutrients,57.5720887628973,68.5925426880257,48.37540862699
HIC,BEL,999.0,999,999,999,2018,23,2,2: Macronutrients,86.2830448111624,106.146776976689,70.6653856031434
SSA,BEN,999.0,999,999,999,2018,23,2,2: Macronutrients,49.1586939458715,58.2559155699185,41.4461252861344
SSA,BFA,999.0,999,999,999,2018,23,2,2: Macronutrients,76.5050567609976,91.2501129587476,64.5483283990625
SAARC,BGD,999.0,999,999,999,2018,23,2,2: Macronutrients,45.8650788436298,47.2001232516234,44.6008111706777
FSU,BGR,999.0,999,999,999,2018,23,2,2: Macronutrients,61.8742094475262,76.5019653353029,50.9376685360607
MENA,BHR,999.0,999,999,999,2018,23,2,2: Macronutrients,82.3856512879556,96.2084004490133,70.1144390276257
LAC,BHS,999.0,999,999,999,2018,23,2,2: Macronutrients,69.38832540508,80.5439955975362,60.1052474329864
FSU,BIH,999.0,999,999,999,2018,23,2,2: Macronutrients,81.9240059001119,100.000738560885,67.7605028888276
FSU,BLR,999.0,999,999,999,2018,23,2,2: Macronutrients,71.7648486001763,87.513693910313,59.4171922071657
LAC,BLZ,999.0,999,999,999,2018,23,2,2: Macronutrients,66.0066876900424,77.1938961903513,56.7557447359646
LAC,BOL,999.0,999,999,999,2018,23,2,2: Macronutrients,56.2304276184657,65.7460614071716,47.8187617953472
LAC,BRA,999.0,999,999,999,2018,23,2,2: Macronutrients,93.5016977940049,97.99288764803292,89.2720121850417
LAC,BRB,999.0,999,999,999,2018,23,2,2: Macronutrients,58.5079098392593,68.3145362734817,50.7173239943236
Asia,BRN,999.0,999,999,999,2018,23,2,2: Macronutrients,79.8330903763226,93.4897707949256,68.2868653986593
SAARC,BTN,999.0,999,999,999,2018,23,2,2: Macronutrients,55.4106527497436,68.0225332194232,45.562435479249
SSA,BWA,999.0,999,999,999,2018,23,2,2: Macronutrients,86.711527112208,102.183281026065,73.6422371757383
SSA,CAF,999.0,999,999,999,2018,23,2,2: Macronutrients,69.7189088321812,82.5448247692904,58.8489646257063
HIC,CAN,999.0,999,999,999,2018,23,2,2: Macronutrients,83.9776996443303,86.401591959564,81.6598063366416
HIC,CHE,999.0,999,999,999,2018,23,2,2: Macronutrients,63.0193979359915,70.8331995018254,56.087182843869
LAC,CHL,999.0,999,999,999,2018,23,2,2: Macronutrients,85.622330328873,90.3350280183872,81.0335722748598
Asia,CHN,999.0,999,999,999,2018,23,2,2: Macronutrients,71.7085423018912,87.5718402134976,59.050520109851
SSA,CIV,999.0,999,999,999,2018,23,2,2: Macronutrients,65.6635370175215,77.8654616807152,54.701491439144
SSA,CMR,999.0,999,999,999,2018,23,2,2: Macronutrients,64.6838671734231,68.8188979274173,60.8962853048057
SSA,COD,999.0,999,999,999,2018,23,2,2: Macronutrients,29.8601962146373,34.0502180252661,26.3704728248877
SSA,COG,999.0,999,999,999,2018,23,2,2: Macronutrients,81.6099136897778,96.5576806424472,68.4685485618214
LAC,COL,999.0,999,999,999,2018,23,2,2: Macronutrients,45.2178983261116,50.7862149252477,40.3194328790476
SSA,COM,999.0,999,999,999,2018,23,2,2: Macronutrients,56.8020383460356,66.9574192093415,48.0808542092963
SSA,CPV,999.0,999,999,999,2018,23,2,2: Macronutrients,74.7328687853736,89.2009399648545,62.9401362890119
LAC,CRI,999.0,999,999,999,2018,23,2,2: Macronutrients,67.2602300634875,77.9098334018359,58.304966175783
LAC,CUB,999.0,999,999,999,2018,23,2,2: Macronutrients,79.5453545969327,92.03306678999428,69.0664000060593
HIC,CYP,999.0,999,999,999,2018,23,2,2: Macronutrients,75.8626517518841,86.7962327316886,66.7203778752023
FSU,CZE,999.0,999,999,999,2018,23,2,2: Macronutrients,51.569264820715,63.4150867812924,42.6446471111011
HIC,DEU,999.0,999,999,999,2018,23,2,2: Macronutrients,91.0433878397149,93.5774125156146,88.532999090128
SSA,DJI,999.0,999,999,999,2018,23,2,2: Macronutrients,86.1965628583849,102.356502509017,72.4439249335228
LAC,DMA,999.0,999,999,999,2018,23,2,2: Macronutrients,58.9899925599738,68.4155899237848,51.2720756822845
HIC,DNK,999.0,999,999,999,2018,23,2,2: Macronutrients,86.6900780426473,99.8595267265287,76.414288435743
LAC,DOM,999.0,999,999,999,2018,23,2,2: Macronutrients,69.6764415859068,81.4749122926309,60.0898825641481
MENA,DZA,999.0,999,999,999,2018,23,2,2: Macronutrients,68.1959825086565,79.9065686181597,57.8606476310562
LAC,ECU,999.0,999,999,999,2018,23,2,2: Macronutrients,24.8468560270894,28.589955662743,21.521793563918
MENA,EGY,999.0,999,999,999,2018,23,2,2: Macronutrients,68.3580816146882,80.2188767239036,58.0829581219212
SSA,ERI,999.0,999,999,999,2018,23,2,2: Macronutrients,60.6311519024622,71.7509604152309,51.7204489756606
HIC,ESP,999.0,999,999,999,2018,23,2,2: Macronutrients,82.3903942820657,93.622660921941,72.3446580328683
FSU,EST,999.0,999,999,999,2018,23,2,2: Macronutrients,76.0288931473706,79.4166994323763,72.8020954641406
SSA,ETH,999.0,999,999,999,2018,23,2,2: Macronutrients,62.8564077437694,65.4801749618587,60.2993009608924
HIC,FIN,999.0,999,999,999,2018,23,2,2: Macronutrients,84.6436858063167,100.066287552238,71.6986282198122
Asia,FJI,999.0,999,999,999,2018,23,2,2: Macronutrients,58.7807474842289,68.3707847126992,50.1819662372902
HIC,FRA,999.0,999,999,999,2018,23,2,2: Macronutrients,90.706125515796,93.3199794817825,88.1334073482293
Asia,FSM,999.0,999,999,999,2018,23,2,2: Macronutrients,61.9178841403915,72.8415942337975,52.9062954345648
SSA,GAB,999.0,999,999,999,2018,23,2,2: Macronutrients,51.1780700095547,61.0406334890733,43.1825870083238
HIC,GBR,999.0,999,999,999,2018,23,2,2: Macronutrients,67.8817746308213,72.2061083391076,63.8472149968587
FSU,GEO,999.0,999,999,999,2018,23,2,2: Macronutrients,98.7382608445936,121.169624117066,81.3214544529662
SSA,GHA,999.0,999,999,999,2018,23,2,2: Macronutrients,65.5880886926679,70.2834401934895,61.2639997909379
SSA,GIN,999.0,999,999,999,2018,23,2,2: Macronutrients,51.7039033793054,62.2798970226324,42.4770113290827
SSA,GMB,999.0,999,999,999,2018,23,2,2: Macronutrients,27.0102353118226,32.2691080886454,22.4123282618629
SSA,GNB,999.0,999,999,999,2018,23,2,2: Macronutrients,31.0705908454106,36.5770554216318,26.1273032803812
SSA,GNQ,999.0,999,999,999,2018,23,2,2: Macronutrients,57.9924435173173,68.4813568408394,49.208485104495
HIC,GRC,999.0,999,999,999,2018,23,2,2: Macronutrients,93.2819909747576,107.334021630356,81.5678008532224
LAC,GRD,999.0,999,999,999,2018,23,2,2: Macronutrients,57.0847777512809,66.1411352894226,49.6802487629229
LAC,GTM,999.0,999,999,999,2018,23,2,2: Macronutrients,51.1237346373227,56.3501542029436,46.4553189168
LAC,GUY,999.0,999,999,999,2018,23,2,2: Macronutrients,75.4317047452929,87.8491828734498,65.3225861219123
LAC,HND,999.0,999,999,999,2018,23,2,2: Macronutrients,57.650486279518,67.3678117579291,49.9387635646262
FSU,HRV,999.0,999,999,999,2018,23,2,2: Macronutrients,90.0434538851655,109.713758488924,73.9309213200193
LAC,HTI,999.0,999,999,999,2018,23,2,2: Macronutrients,68.9386216056944,81.6479737490054,58.2616735706253
FSU,HUN,999.0,999,999,999,2018,23,2,2: Macronutrients,59.2473572159961,72.7689871762242,48.5216381587366
Asia,IDN,999.0,999,999,999,2018,23,2,2: Macronutrients,72.2717366987537,75.4902055171372,69.2775002349661
SAARC,IND,999.0,999,999,999,2018,23,2,2: Macronutrients,45.3309871440438,46.7985074488288,43.9942536429158
HIC,IRL,999.0,999,999,999,2018,23,2,2: Macronutrients,68.6265784620828,78.9216909138765,59.8879481431336
MENA,IRN,999.0,999,999,999,2018,23,2,2: Macronutrients,68.092531876392,70.0337013568904,66.2151066323464
MENA,IRQ,999.0,999,999,999,2018,23,2,2: Macronutrients,84.5697585694638,99.3497107344026,71.7348366240285
HIC,ISL,999.0,999,999,999,2018,23,2,2: Macronutrients,91.0095859794171,106.908373549379,78.2664813457095
