superregion2,iso3,age,female,urban,edu,year,varnum,v27_type,v27_type_desc,median,upperci_95,lowerci_95
SAARC,AFG,999.0,999,999,999,2018,27,2,2: Macronutrients,7.48921135313332,11.6198852540013,4.46310633086519
SSA,AGO,999.0,999,999,999,2018,27,2,2: Macronutrients,10.6635878156331,14.1870716566606,7.76502554415897
FSU,ALB,999.0,999,999,999,2018,27,2,2: Macronutrients,12.1131564299177,14.8388809959101,9.63441900940871
MENA,ARE,999.0,999,999,999,2018,27,2,2: Macronutrients,8.8787616783442,9.58456890306218,8.22259285338657
LAC,ARG,999.0,999,999,999,2018,27,2,2: Macronutrients,11.2844192981069,12.057095214013,10.5403810656984
FSU,ARM,999.0,999,999,999,2018,27,2,2: Macronutrients,11.6983906646305,14.4145078903445,9.28546250050412
LAC,ATG,999.0,999,999,999,2018,27,2,2: Macronutrients,9.58998137453388,11.8072922706701,7.57265274989445
HIC,AUS,999.0,999,999,999,2018,27,2,2: Macronutrients,12.9249976560447,13.7684621868916,12.0686213165542
HIC,AUT,999.0,999,999,999,2018,27,2,2: Macronutrients,16.310479914102,17.2138275840255,15.4454364996781
FSU,AZE,999.0,999,999,999,2018,27,2,2: Macronutrients,9.152510387067608,11.7393333173259,6.92328839762208
SSA,BDI,999.0,999,999,999,2018,27,2,2: Macronutrients,9.07745546960958,12.4640133134423,6.40298896877135
HIC,BEL,999.0,999,999,999,2018,27,2,2: Macronutrients,15.3475588488036,16.4770537507974,14.2680390440877
SSA,BEN,999.0,999,999,999,2018,27,2,2: Macronutrients,7.89650845894658,10.9138379772391,5.5204732340663
SSA,BFA,999.0,999,999,999,2018,27,2,2: Macronutrients,7.81933289868739,10.8368072576845,5.40113977393293
SAARC,BGD,999.0,999,999,999,2018,27,2,2: Macronutrients,3.05159605370785,4.21167659901496,2.62843132215038
FSU,BGR,999.0,999,999,999,2018,27,2,2: Macronutrients,12.9409505030249,13.7804368631144,12.1054817221154
MENA,BHR,999.0,999,999,999,2018,27,2,2: Macronutrients,10.7159333875989,13.2306976985343,8.45379073617597
LAC,BHS,999.0,999,999,999,2018,27,2,2: Macronutrients,11.0461235476638,13.5178900772781,8.8200067332295
FSU,BIH,999.0,999,999,999,2018,27,2,2: Macronutrients,9.85912242198293,12.5890087849441,7.62824780741314
