Region,iso3,age,female,urban,edu,year,varnum,v34_type,v34_type_desc,Median,country name
SAARC,AFG,999.0,999,999,999,2018,34,2,2: Macronutrients,45.8000605790395,Afghanistan
SSA,AGO,999.0,999,999,999,2018,34,2,2: Macronutrients,28.3661581100168,Angola
FSU,ALB,999.0,999,999,999,2018,34,2,2: Macronutrients,30.3430490800099,Albania
MENA,ARE,999.0,999,999,999,2018,34,2,2: Macronutrients,14.3203179190022,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,34,2,2: Macronutrients,11.9388911225485,Argentina
FSU,ARM,999.0,999,999,999,2018,34,2,2: Macronutrients,35.0578766059993,Armenia
LAC,ATG,999.0,999,999,999,2018,34,2,2: Macronutrients,25.4516852101731,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,34,2,2: Macronutrients,19.3596435443781,Australia
HIC,AUT,999.0,999,999,999,2018,34,2,2: Macronutrients,22.0431592393074,Austria
FSU,AZE,999.0,999,999,999,2018,34,2,2: Macronutrients,17.9172530789501,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,34,2,2: Macronutrients,26.8240462144212,Burundi
HIC,BEL,999.0,999,999,999,2018,34,2,2: Macronutrients,17.0762699695647,Belgium
SSA,BEN,999.0,999,999,999,2018,34,2,2: Macronutrients,14.040145116448,Benin
SSA,BFA,999.0,999,999,999,2018,34,2,2: Macronutrients,14.8541779266478,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,34,2,2: Macronutrients,23.9357398920003,Bangladesh
FSU,BGR,999.0,999,999,999,2018,34,2,2: Macronutrients,19.8489908490485,Bulgaria
MENA,BHR,999.0,999,999,999,2018,34,2,2: Macronutrients,9.37914784619034,Bahrain
LAC,BHS,999.0,999,999,999,2018,34,2,2: Macronutrients,21.5741117727202,Bahamas
FSU,BIH,999.0,999,999,999,2018,34,2,2: Macronutrients,18.5508168643847,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,34,2,2: Macronutrients,31.6917568476328,Belarus
LAC,BLZ,999.0,999,999,999,2018,34,2,2: Macronutrients,15.9414026032433,Belize
LAC,BOL,999.0,999,999,999,2018,34,2,2: Macronutrients,8.81878513170056,Bolivia
LAC,BRA,999.0,999,999,999,2018,34,2,2: Macronutrients,28.785462593131,Brazil
LAC,BRB,999.0,999,999,999,2018,34,2,2: Macronutrients,38.5961498678031,Barbados
Asia,BRN,999.0,999,999,999,2018,34,2,2: Macronutrients,15.6874260216313,Brunei
SAARC,BTN,999.0,999,999,999,2018,34,2,2: Macronutrients,32.3168992916801,Bhutan
SSA,BWA,999.0,999,999,999,2018,34,2,2: Macronutrients,37.3521254581782,Botswana
SSA,CAF,999.0,999,999,999,2018,34,2,2: Macronutrients,23.5083580429034,Central African Republic
HIC,CAN,999.0,999,999,999,2018,34,2,2: Macronutrients,15.3781811038357,Canada
HIC,CHE,999.0,999,999,999,2018,34,2,2: Macronutrients,15.5563640090119,Switzerland
LAC,CHL,999.0,999,999,999,2018,34,2,2: Macronutrients,22.302638174132,Chile
Asia,CHN,999.0,999,999,999,2018,34,2,2: Macronutrients,21.4035858634714,China
SSA,CIV,999.0,999,999,999,2018,34,2,2: Macronutrients,20.7446109771301,Côte d'Ivoire
SSA,CMR,999.0,999,999,999,2018,34,2,2: Macronutrients,30.06331790974,Cameroon
SSA,COD,999.0,999,999,999,2018,34,2,2: Macronutrients,21.7830495248607,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,34,2,2: Macronutrients,26.6101638223609,Republic of Congo
LAC,COL,999.0,999,999,999,2018,34,2,2: Macronutrients,17.9645827548482,Colombia
SSA,COM,999.0,999,999,999,2018,34,2,2: Macronutrients,21.6391504974712,Comoros
SSA,CPV,999.0,999,999,999,2018,34,2,2: Macronutrients,58.8207138658809,Cape Verde
LAC,CRI,999.0,999,999,999,2018,34,2,2: Macronutrients,23.8832115575628,Costa Rica
LAC,CUB,999.0,999,999,999,2018,34,2,2: Macronutrients,7.01094787780503,Cuba
HIC,CYP,999.0,999,999,999,2018,34,2,2: Macronutrients,11.7174193960378,Cyprus
FSU,CZE,999.0,999,999,999,2018,34,2,2: Macronutrients,17.563638625557,Czech Republic
HIC,DEU,999.0,999,999,999,2018,34,2,2: Macronutrients,25.1231362331719,Germany
SSA,DJI,999.0,999,999,999,2018,34,2,2: Macronutrients,43.1336030635713,Djibouti
LAC,DMA,999.0,999,999,999,2018,34,2,2: Macronutrients,15.7626009197306,Dominica
HIC,DNK,999.0,999,999,999,2018,34,2,2: Macronutrients,22.7415327343388,Denmark
LAC,DOM,999.0,999,999,999,2018,34,2,2: Macronutrients,18.3628984739246,Dominican Republic
MENA,DZA,999.0,999,999,999,2018,34,2,2: Macronutrients,24.6000469108231,Algeria
LAC,ECU,999.0,999,999,999,2018,34,2,2: Macronutrients,20.4715765223013,Ecuador
MENA,EGY,999.0,999,999,999,2018,34,2,2: Macronutrients,38.5902170641606,Egypt
SSA,ERI,999.0,999,999,999,2018,34,2,2: Macronutrients,28.6022611835971,Eritrea
HIC,ESP,999.0,999,999,999,2018,34,2,2: Macronutrients,16.6790620833404,Spain
FSU,EST,999.0,999,999,999,2018,34,2,2: Macronutrients,17.2568902895874,Estonia
SSA,ETH,999.0,999,999,999,2018,34,2,2: Macronutrients,16.0484653338673,Ethiopia
HIC,FIN,999.0,999,999,999,2018,34,2,2: Macronutrients,20.7302679844832,Finland
Asia,FJI,999.0,999,999,999,2018,34,2,2: Macronutrients,11.1334020324962,Fiji
HIC,FRA,999.0,999,999,999,2018,34,2,2: Macronutrients,17.058250529895,France
Asia,FSM,999.0,999,999,999,2018,34,2,2: Macronutrients,8.77511368375488,Micronesia
SSA,GAB,999.0,999,999,999,2018,34,2,2: Macronutrients,46.8784464593928,Gabon
HIC,GBR,999.0,999,999,999,2018,34,2,2: Macronutrients,11.351717485701,United Kingdom
FSU,GEO,999.0,999,999,999,2018,34,2,2: Macronutrients,19.8242218663485,Georgia
SSA,GHA,999.0,999,999,999,2018,34,2,2: Macronutrients,27.4726194300773,Ghana
SSA,GIN,999.0,999,999,999,2018,34,2,2: Macronutrients,20.2572614911746,Guinea
SSA,GMB,999.0,999,999,999,2018,34,2,2: Macronutrients,19.4466632999756,Gambia
SSA,GNB,999.0,999,999,999,2018,34,2,2: Macronutrients,11.2541049999946,Guinea-Bissau
SSA,GNQ,999.0,999,999,999,2018,34,2,2: Macronutrients,29.0700682129944,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,34,2,2: Macronutrients,30.9731561248614,Greece
LAC,GRD,999.0,999,999,999,2018,34,2,2: Macronutrients,20.6303736931568,Grenada
LAC,GTM,999.0,999,999,999,2018,34,2,2: Macronutrients,24.5729727088748,Guatemala
