Region,iso3,age,female,urban,edu,year,varnum,v36_type,v36_type_desc,Median,country name
SAARC,AFG,999.0,999,999,999,2018,36,3,3: Micronutrients,436.641414052884,Afghanistan
SSA,AGO,999.0,999,999,999,2018,36,3,3: Micronutrients,444.466790753934,Angola
FSU,ALB,999.0,999,999,999,2018,36,3,3: Micronutrients,851.207773742015,Albania
MENA,ARE,999.0,999,999,999,2018,36,3,3: Micronutrients,597.073541229581,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,36,3,3: Micronutrients,636.934696498777,Argentina
FSU,ARM,999.0,999,999,999,2018,36,3,3: Micronutrients,856.003351789622,Armenia
LAC,ATG,999.0,999,999,999,2018,36,3,3: Micronutrients,798.053223038141,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,36,3,3: Micronutrients,673.931344637601,Australia
HIC,AUT,999.0,999,999,999,2018,36,3,3: Micronutrients,743.610664397916,Austria
FSU,AZE,999.0,999,999,999,2018,36,3,3: Micronutrients,789.318255055785,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,36,3,3: Micronutrients,452.861800341989,Burundi
HIC,BEL,999.0,999,999,999,2018,36,3,3: Micronutrients,798.33087815059,Belgium
SSA,BEN,999.0,999,999,999,2018,36,3,3: Micronutrients,486.852278956784,Benin
SSA,BFA,999.0,999,999,999,2018,36,3,3: Micronutrients,444.50276472246,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,36,3,3: Micronutrients,342.984408500658,Bangladesh
FSU,BGR,999.0,999,999,999,2018,36,3,3: Micronutrients,445.456367704306,Bulgaria
MENA,BHR,999.0,999,999,999,2018,36,3,3: Micronutrients,637.855490171916,Bahrain
LAC,BHS,999.0,999,999,999,2018,36,3,3: Micronutrients,513.754614806416,Bahamas
FSU,BIH,999.0,999,999,999,2018,36,3,3: Micronutrients,721.344844100687,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,36,3,3: Micronutrients,780.087401695504,Belarus
LAC,BLZ,999.0,999,999,999,2018,36,3,3: Micronutrients,674.852796472377,Belize
LAC,BOL,999.0,999,999,999,2018,36,3,3: Micronutrients,525.629794840885,Bolivia
LAC,BRA,999.0,999,999,999,2018,36,3,3: Micronutrients,550.620692375343,Brazil
LAC,BRB,999.0,999,999,999,2018,36,3,3: Micronutrients,584.023054102135,Barbados
Asia,BRN,999.0,999,999,999,2018,36,3,3: Micronutrients,414.035476940581,Brunei
SAARC,BTN,999.0,999,999,999,2018,36,3,3: Micronutrients,485.170532716223,Bhutan
SSA,BWA,999.0,999,999,999,2018,36,3,3: Micronutrients,559.406433336798,Botswana
SSA,CAF,999.0,999,999,999,2018,36,3,3: Micronutrients,511.491650883921,Central African Republic
HIC,CAN,999.0,999,999,999,2018,36,3,3: Micronutrients,811.270480158102,Canada
HIC,CHE,999.0,999,999,999,2018,36,3,3: Micronutrients,884.791253673113,Switzerland
LAC,CHL,999.0,999,999,999,2018,36,3,3: Micronutrients,692.855432829575,Chile
Asia,CHN,999.0,999,999,999,2018,36,3,3: Micronutrients,424.794771714254,China
SSA,CIV,999.0,999,999,999,2018,36,3,3: Micronutrients,461.680922773052,Côte d'Ivoire
SSA,CMR,999.0,999,999,999,2018,36,3,3: Micronutrients,508.093266494901,Cameroon
SSA,COD,999.0,999,999,999,2018,36,3,3: Micronutrients,425.691694971103,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,36,3,3: Micronutrients,476.757434425158,Republic of Congo
LAC,COL,999.0,999,999,999,2018,36,3,3: Micronutrients,491.137081629294,Colombia
SSA,COM,999.0,999,999,999,2018,36,3,3: Micronutrients,459.008941941095,Comoros
SSA,CPV,999.0,999,999,999,2018,36,3,3: Micronutrients,620.094676855506,Cape Verde
LAC,CRI,999.0,999,999,999,2018,36,3,3: Micronutrients,818.86921788564,Costa Rica
LAC,CUB,999.0,999,999,999,2018,36,3,3: Micronutrients,887.368334786102,Cuba
HIC,CYP,999.0,999,999,999,2018,36,3,3: Micronutrients,723.636097805585,Cyprus
FSU,CZE,999.0,999,999,999,2018,36,3,3: Micronutrients,595.077744952981,Czech Republic
HIC,DEU,999.0,999,999,999,2018,36,3,3: Micronutrients,1000.10988400069,Germany
SSA,DJI,999.0,999,999,999,2018,36,3,3: Micronutrients,391.447856626677,Djibouti
LAC,DMA,999.0,999,999,999,2018,36,3,3: Micronutrients,837.133484718662,Dominica
HIC,DNK,999.0,999,999,999,2018,36,3,3: Micronutrients,1006.88023215502,Denmark
LAC,DOM,999.0,999,999,999,2018,36,3,3: Micronutrients,736.119769611345,Dominican Republic
MENA,DZA,999.0,999,999,999,2018,36,3,3: Micronutrients,758.258463217969,Algeria
LAC,ECU,999.0,999,999,999,2018,36,3,3: Micronutrients,809.972579598586,Ecuador
MENA,EGY,999.0,999,999,999,2018,36,3,3: Micronutrients,682.773383182421,Egypt
SSA,ERI,999.0,999,999,999,2018,36,3,3: Micronutrients,457.820743232319,Eritrea
HIC,ESP,999.0,999,999,999,2018,36,3,3: Micronutrients,816.445941416873,Spain
FSU,EST,999.0,999,999,999,2018,36,3,3: Micronutrients,754.268621468874,Estonia
SSA,ETH,999.0,999,999,999,2018,36,3,3: Micronutrients,548.890595271141,Ethiopia
HIC,FIN,999.0,999,999,999,2018,36,3,3: Micronutrients,1069.23340565819,Finland
Asia,FJI,999.0,999,999,999,2018,36,3,3: Micronutrients,508.327743611159,Fiji
HIC,FRA,999.0,999,999,999,2018,36,3,3: Micronutrients,918.613130083319,France
Asia,FSM,999.0,999,999,999,2018,36,3,3: Micronutrients,528.085694621685,Micronesia
SSA,GAB,999.0,999,999,999,2018,36,3,3: Micronutrients,772.653630104024,Gabon
HIC,GBR,999.0,999,999,999,2018,36,3,3: Micronutrients,809.014876045771,United Kingdom
FSU,GEO,999.0,999,999,999,2018,36,3,3: Micronutrients,595.809427121898,Georgia
SSA,GHA,999.0,999,999,999,2018,36,3,3: Micronutrients,356.679646946334,Ghana
SSA,GIN,999.0,999,999,999,2018,36,3,3: Micronutrients,432.141234626704,Guinea
SSA,GMB,999.0,999,999,999,2018,36,3,3: Micronutrients,191.848386340597,Gambia
SSA,GNB,999.0,999,999,999,2018,36,3,3: Micronutrients,364.88895731201,Guinea-Bissau
SSA,GNQ,999.0,999,999,999,2018,36,3,3: Micronutrients,533.619303825556,Equatorial Guinea
HIC,GRC,999.0,999,999,999,2018,36,3,3: Micronutrients,906.270020665346,Greece
LAC,GRD,999.0,999,999,999,2018,36,3,3: Micronutrients,721.630018609729,Grenada
LAC,GTM,999.0,999,999,999,2018,36,3,3: Micronutrients,764.39185844571,Guatemala
LAC,GUY,999.0,999,999,999,2018,36,3,3: Micronutrients,730.781826275543,Guyana
LAC,HND,999.0,999,999,999,2018,36,3,3: Micronutrients,707.620295369331,Honduras
FSU,HRV,999.0,999,999,999,2018,36,3,3: Micronutrients,768.771705195064,Croatia
LAC,HTI,999.0,999,999,999,2018,36,3,3: Micronutrients,658.204728754999,Haiti
FSU,HUN,999.0,999,999,999,2018,36,3,3: Micronutrients,476.000761083948,Hungary
Asia,IDN,999.0,999,999,999,2018,36,3,3: Micronutrients,525.674197083341,Indonesia
SAARC,IND,999.0,999,999,999,2018,36,3,3: Micronutrients,422.469356956159,India
HIC,IRL,999.0,999,999,999,2018,36,3,3: Micronutrients,818.574352877226,Ireland
MENA,IRN,999.0,999,999,999,2018,36,3,3: Micronutrients,760.116162987805,Iran
MENA,IRQ,999.0,999,999,999,2018,36,3,3: Micronutrients,543.114084861971,Iraq
HIC,ISL,999.0,999,999,999,2018,36,3,3: Micronutrients,1056.98154752718,Iceland
MENA,ISR,999.0,999,999,999,2018,36,3,3: Micronutrients,527.305973065662,Israel
HIC,ITA,999.0,999,999,999,2018,36,3,3: Micronutrients,710.957010849281,Italy
LAC,JAM,999.0,999,999,999,2018,36,3,3: Micronutrients,1350.35176238783,Jamaica
MENA,JOR,999.0,999,999,999,2018,36,3,3: Micronutrients,871.870436573255,Jordan
Asia,JPN,999.0,999,999,999,2018,36,3,3: Micronutrients,511.932658488054,Japan
FSU,KAZ,999.0,999,999,999,2018,36,3,3: Micronutrients,808.742162802905,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,36,3,3: Micronutrients,735.174558904196,Kenya
FSU,KGZ,999.0,999,999,999,2018,36,3,3: Micronutrients,740.437087841106,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,36,3,3: Micronutrients,519.655201912701,Cambodia
Asia,KIR,999.0,999,999,999,2018,36,3,3: Micronutrients,541.654340333287,Kiribati
Asia,KOR,999.0,999,999,999,2018,36,3,3: Micronutrients,496.389925222271,South Korea
MENA,KWT,999.0,999,999,999,2018,36,3,3: Micronutrients,686.220257851017,Kuwait
Asia,LAO,999.0,999,999,999,2018,36,3,3: Micronutrients,317.187927522747,Laos
MENA,LBN,999.0,999,999,999,2018,36,3,3: Micronutrients,1194.60305407054,Lebanon
SSA,LBR,999.0,999,999,999,2018,36,3,3: Micronutrients,535.734674443792,Liberia
MENA,LBY,999.0,999,999,999,2018,36,3,3: Micronutrients,544.218148808592,Libya
LAC,LCA,999.0,999,999,999,2018,36,3,3: Micronutrients,544.72273716219,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,36,3,3: Micronutrients,487.335280993749,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,36,3,3: Micronutrients,546.795519535813,Lesotho
FSU,LTU,999.0,999,999,999,2018,36,3,3: Micronutrients,908.578919208076,Lithuania
HIC,LUX,999.0,999,999,999,2018,36,3,3: Micronutrients,761.027364317582,Luxembourg
FSU,LVA,999.0,999,999,999,2018,36,3,3: Micronutrients,823.096494577625,Latvia
