Region,iso3,age,female,urban,edu,year,varnum,v37_type,v37_type_desc,Median,country name
SAARC,AFG,999.0,999,999,999,2018,37,3,3: Micronutrients,3146.32726626482,Afghanistan
SSA,AGO,999.0,999,999,999,2018,37,3,3: Micronutrients,1997.18839302902,Angola
FSU,ALB,999.0,999,999,999,2018,37,3,3: Micronutrients,3273.05588904298,Albania
MENA,ARE,999.0,999,999,999,2018,37,3,3: Micronutrients,3047.26835473608,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,37,3,3: Micronutrients,1676.14377807557,Argentina
FSU,ARM,999.0,999,999,999,2018,37,3,3: Micronutrients,2869.0296860188,Armenia
LAC,ATG,999.0,999,999,999,2018,37,3,3: Micronutrients,2379.77778257768,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,37,3,3: Micronutrients,2616.95643395881,Australia
HIC,AUT,999.0,999,999,999,2018,37,3,3: Micronutrients,3030.65612410343,Austria
FSU,AZE,999.0,999,999,999,2018,37,3,3: Micronutrients,2686.08897202895,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,37,3,3: Micronutrients,1934.59513653184,Burundi
HIC,BEL,999.0,999,999,999,2018,37,3,3: Micronutrients,2586.25477106494,Belgium
SSA,BEN,999.0,999,999,999,2018,37,3,3: Micronutrients,2133.07355562641,Benin
SSA,BFA,999.0,999,999,999,2018,37,3,3: Micronutrients,1811.88679203989,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,37,3,3: Micronutrients,3977.1776765833,Bangladesh
FSU,BGR,999.0,999,999,999,2018,37,3,3: Micronutrients,2663.32908055095,Bulgaria
MENA,BHR,999.0,999,999,999,2018,37,3,3: Micronutrients,5031.17655219814,Bahrain
LAC,BHS,999.0,999,999,999,2018,37,3,3: Micronutrients,2417.69574128811,Bahamas
FSU,BIH,999.0,999,999,999,2018,37,3,3: Micronutrients,2812.88156960679,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,37,3,3: Micronutrients,3040.60636126833,Belarus
LAC,BLZ,999.0,999,999,999,2018,37,3,3: Micronutrients,1977.92988974816,Belize
LAC,BOL,999.0,999,999,999,2018,37,3,3: Micronutrients,2238.71019129958,Bolivia
LAC,BRA,999.0,999,999,999,2018,37,3,3: Micronutrients,3129.64375012375,Brazil
LAC,BRB,999.0,999,999,999,2018,37,3,3: Micronutrients,2189.39421787361,Barbados
