Region,iso3,age,female,urban,edu,year,varnum,v39_type,v39_type_desc,Median,country name
SAARC,AFG,999.0,999,999,999,2018,39,3,3: Micronutrients,18.4530046204576,Afghanistan
SSA,AGO,999.0,999,999,999,2018,39,3,3: Micronutrients,16.6935201042793,Angola
FSU,ALB,999.0,999,999,999,2018,39,3,3: Micronutrients,8.05330744281639,Albania
MENA,ARE,999.0,999,999,999,2018,39,3,3: Micronutrients,17.7703980569793,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,39,3,3: Micronutrients,13.2931665344902,Argentina
FSU,ARM,999.0,999,999,999,2018,39,3,3: Micronutrients,12.5732278422286,Armenia
LAC,ATG,999.0,999,999,999,2018,39,3,3: Micronutrients,11.9456741205784,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,39,3,3: Micronutrients,12.9195719035953,Australia
HIC,AUT,999.0,999,999,999,2018,39,3,3: Micronutrients,13.7800086752143,Austria
FSU,AZE,999.0,999,999,999,2018,39,3,3: Micronutrients,14.9596977279242,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,39,3,3: Micronutrients,8.74764392488799,Burundi
HIC,BEL,999.0,999,999,999,2018,39,3,3: Micronutrients,8.34770860596335,Belgium
SSA,BEN,999.0,999,999,999,2018,39,3,3: Micronutrients,10.9094488578775,Benin
SSA,BFA,999.0,999,999,999,2018,39,3,3: Micronutrients,17.7223840442428,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,39,3,3: Micronutrients,10.3042138932614,Bangladesh
FSU,BGR,999.0,999,999,999,2018,39,3,3: Micronutrients,8.2556723655669,Bulgaria
MENA,BHR,999.0,999,999,999,2018,39,3,3: Micronutrients,12.3679802772702,Bahrain
LAC,BHS,999.0,999,999,999,2018,39,3,3: Micronutrients,11.5063145616912,Bahamas
FSU,BIH,999.0,999,999,999,2018,39,3,3: Micronutrients,7.35131802808133,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,39,3,3: Micronutrients,16.34615198916,Belarus
LAC,BLZ,999.0,999,999,999,2018,39,3,3: Micronutrients,13.3463556977402,Belize
LAC,BOL,999.0,999,999,999,2018,39,3,3: Micronutrients,18.1924189423032,Bolivia
LAC,BRA,999.0,999,999,999,2018,39,3,3: Micronutrients,13.1125972321056,Brazil
LAC,BRB,999.0,999,999,999,2018,39,3,3: Micronutrients,11.8863887217122,Barbados
Asia,BRN,999.0,999,999,999,2018,39,3,3: Micronutrients,9.65417447465205,Brunei
