Region,iso3,age,female,urban,edu,year,varnum,v43_type,v43_type_desc,Median,country name
SAARC,AFG,999.0,999,999,999,2018,43,3,3: Micronutrients,265.141829723329,Afghanistan
SSA,AGO,999.0,999,999,999,2018,43,3,3: Micronutrients,1124.85183053995,Angola
FSU,ALB,999.0,999,999,999,2018,43,3,3: Micronutrients,2685.17002390473,Albania
MENA,ARE,999.0,999,999,999,2018,43,3,3: Micronutrients,331.817549945321,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,43,3,3: Micronutrients,815.862749988454,Argentina
FSU,ARM,999.0,999,999,999,2018,43,3,3: Micronutrients,1357.95017005009,Armenia
LAC,ATG,999.0,999,999,999,2018,43,3,3: Micronutrients,798.265625092862,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,43,3,3: Micronutrients,801.600824932621,Australia
HIC,AUT,999.0,999,999,999,2018,43,3,3: Micronutrients,884.024340715974,Austria
FSU,AZE,999.0,999,999,999,2018,43,3,3: Micronutrients,523.446927887789,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,43,3,3: Micronutrients,1893.40922518401,Burundi
HIC,BEL,999.0,999,999,999,2018,43,3,3: Micronutrients,1549.30849100955,Belgium
SSA,BEN,999.0,999,999,999,2018,43,3,3: Micronutrients,1773.85361256152,Benin
SSA,BFA,999.0,999,999,999,2018,43,3,3: Micronutrients,617.492674894258,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,43,3,3: Micronutrients,307.786748679415,Bangladesh
FSU,BGR,999.0,999,999,999,2018,43,3,3: Micronutrients,801.734762792943,Bulgaria
MENA,BHR,999.0,999,999,999,2018,43,3,3: Micronutrients,1150.04226904227,Bahrain
LAC,BHS,999.0,999,999,999,2018,43,3,3: Micronutrients,1073.47144064533,Bahamas
FSU,BIH,999.0,999,999,999,2018,43,3,3: Micronutrients,1037.94487902362,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,43,3,3: Micronutrients,925.833784488509,Belarus
LAC,BLZ,999.0,999,999,999,2018,43,3,3: Micronutrients,822.110311904483,Belize
LAC,BOL,999.0,999,999,999,2018,43,3,3: Micronutrients,670.876212109064,Bolivia
LAC,BRA,999.0,999,999,999,2018,43,3,3: Micronutrients,595.824885975357,Brazil
LAC,BRB,999.0,999,999,999,2018,43,3,3: Micronutrients,1030.11123846224,Barbados
Asia,BRN,999.0,999,999,999,2018,43,3,3: Micronutrients,558.057031283393,Brunei
SAARC,BTN,999.0,999,999,999,2018,43,3,3: Micronutrients,756.550135316754,Bhutan
SSA,BWA,999.0,999,999,999,2018,43,3,3: Micronutrients,928.995497695814,Botswana
SSA,CAF,999.0,999,999,999,2018,43,3,3: Micronutrients,1361.44925418792,Central African Republic
HIC,CAN,999.0,999,999,999,2018,43,3,3: Micronutrients,841.37633992163,Canada
HIC,CHE,999.0,999,999,999,2018,43,3,3: Micronutrients,585.480100570751,Switzerland
LAC,CHL,999.0,999,999,999,2018,43,3,3: Micronutrients,390.986289108463,Chile
Asia,CHN,999.0,999,999,999,2018,43,3,3: Micronutrients,509.272038812332,China
SSA,CIV,999.0,999,999,999,2018,43,3,3: Micronutrients,3042.09633639574,Côte d'Ivoire
SSA,CMR,999.0,999,999,999,2018,43,3,3: Micronutrients,2301.40618093629,Cameroon
SSA,COD,999.0,999,999,999,2018,43,3,3: Micronutrients,2839.83500390891,Democratic Republic of the Congo
SSA,COG,999.0,999,999,999,2018,43,3,3: Micronutrients,2143.22418496985,Republic of Congo
LAC,COL,999.0,999,999,999,2018,43,3,3: Micronutrients,660.270799759127,Colombia
SSA,COM,999.0,999,999,999,2018,43,3,3: Micronutrients,1867.19550785527,Comoros
SSA,CPV,999.0,999,999,999,2018,43,3,3: Micronutrients,1177.36402677304,Cape Verde
LAC,CRI,999.0,999,999,999,2018,43,3,3: Micronutrients,1939.06173466311,Costa Rica
LAC,CUB,999.0,999,999,999,2018,43,3,3: Micronutrients,1369.73848989335,Cuba
HIC,CYP,999.0,999,999,999,2018,43,3,3: Micronutrients,703.315301300843,Cyprus
FSU,CZE,999.0,999,999,999,2018,43,3,3: Micronutrients,1187.3957413907,Czech Republic
HIC,DEU,999.0,999,999,999,2018,43,3,3: Micronutrients,1042.77016625651,Germany
SSA,DJI,999.0,999,999,999,2018,43,3,3: Micronutrients,1876.5598374296,Djibouti
LAC,DMA,999.0,999,999,999,2018,43,3,3: Micronutrients,1397.16247534716,Dominica
HIC,DNK,999.0,999,999,999,2018,43,3,3: Micronutrients,786.596002086626,Denmark
LAC,DOM,999.0,999,999,999,2018,43,3,3: Micronutrients,2438.12606392316,Dominican Republic
MENA,DZA,999.0,999,999,999,2018,43,3,3: Micronutrients,619.807852161094,Algeria
LAC,ECU,999.0,999,999,999,2018,43,3,3: Micronutrients,379.376146367327,Ecuador
MENA,EGY,999.0,999,999,999,2018,43,3,3: Micronutrients,899.824431826897,Egypt
SSA,ERI,999.0,999,999,999,2018,43,3,3: Micronutrients,2140.50263689035,Eritrea
HIC,ESP,999.0,999,999,999,2018,43,3,3: Micronutrients,766.063413286184,Spain
FSU,EST,999.0,999,999,999,2018,43,3,3: Micronutrients,1573.30004730547,Estonia
SSA,ETH,999.0,999,999,999,2018,43,3,3: Micronutrients,640.318218071745,Ethiopia
HIC,FIN,999.0,999,999,999,2018,43,3,3: Micronutrients,821.154020543567,Finland
Asia,FJI,999.0,999,999,999,2018,43,3,3: Micronutrients,781.204742305119,Fiji
HIC,FRA,999.0,999,999,999,2018,43,3,3: Micronutrients,726.946979916172,France
Asia,FSM,999.0,999,999,999,2018,43,3,3: Micronutrients,1736.25305140515,Micronesia
SSA,GAB,999.0,999,999,999,2018,43,3,3: Micronutrients,1568.1679832356,Gabon
HIC,GBR,999.0,999,999,999,2018,43,3,3: Micronutrients,211.234774398227,United Kingdom
FSU,GEO,999.0,999,999,999,2018,43,3,3: Micronutrients,663.293972395409,Georgia
