superregion2,iso3,age,female,urban,edu,year,v50_type,v50_type_desc,median,country name
SAARC,AFG,999.0,999,999,999,2018,3,3: Micronutrients,1.79936451806145,Afghanistan
SSA,AGO,999.0,999,999,999,2018,3,3: Micronutrients,2.38550697779225,Angola
FSU,ALB,999.0,999,999,999,2018,3,3: Micronutrients,3.87796247925137,Albania
MENA,ARE,999.0,999,999,999,2018,3,3: Micronutrients,3.07217436012551,United Arab Emirates
LAC,ARG,999.0,999,999,999,2018,3,3: Micronutrients,4.25594212814362,Argentina
FSU,ARM,999.0,999,999,999,2018,3,3: Micronutrients,3.82113419993538,Armenia
LAC,ATG,999.0,999,999,999,2018,3,3: Micronutrients,3.05973016052328,Antigua and Barbuda
HIC,AUS,999.0,999,999,999,2018,3,3: Micronutrients,4.63923589260337,Australia
HIC,AUT,999.0,999,999,999,2018,3,3: Micronutrients,4.6085753663684,Austria
FSU,AZE,999.0,999,999,999,2018,3,3: Micronutrients,3.70878834857739,Azerbaijan
SSA,BDI,999.0,999,999,999,2018,3,3: Micronutrients,1.99766387722498,Burundi
HIC,BEL,999.0,999,999,999,2018,3,3: Micronutrients,4.55054673482057,Belgium
SSA,BEN,999.0,999,999,999,2018,3,3: Micronutrients,2.19157174975238,Benin
SSA,BFA,999.0,999,999,999,2018,3,3: Micronutrients,1.31814764101827,Burkina Faso
SAARC,BGD,999.0,999,999,999,2018,3,3: Micronutrients,1.51875929783094,Bangladesh
FSU,BGR,999.0,999,999,999,2018,3,3: Micronutrients,2.68740959168377,Bulgaria
MENA,BHR,999.0,999,999,999,2018,3,3: Micronutrients,4.05279511362849,Bahrain
LAC,BHS,999.0,999,999,999,2018,3,3: Micronutrients,3.57211054514127,Bahamas
FSU,BIH,999.0,999,999,999,2018,3,3: Micronutrients,3.73262416192009,Bosnia and Herzegovina
FSU,BLR,999.0,999,999,999,2018,3,3: Micronutrients,4.07469098901461,Belarus
LAC,BLZ,999.0,999,999,999,2018,3,3: Micronutrients,3.19494205430842,Belize
LAC,BOL,999.0,999,999,999,2018,3,3: Micronutrients,3.45365288602414,Bolivia
LAC,BRA,999.0,999,999,999,2018,3,3: Micronutrients,5.39514117055805,Brazil
LAC,BRB,999.0,999,999,999,2018,3,3: Micronutrients,3.05563087040523,Barbados
Asia,BRN,999.0,999,999,999,2018,3,3: Micronutrients,3.47701119748805,Brunei
SAARC,BTN,999.0,999,999,999,2018,3,3: Micronutrients,1.95461666230154,Bhutan
SSA,BWA,999.0,999,999,999,2018,3,3: Micronutrients,2.58034053302551,Botswana
