superregion2,iso3,age,female,urban,edu,year,varnum,v51_type,v51_type_desc,median,upperci_95,lowerci_95
SAARC,AFG,999.0,999,999,999,2018,51,3,3: Micronutrients,42.126845016742,62.9668322317573,29.1852650391858
SSA,AGO,999.0,999,999,999,2018,51,3,3: Micronutrients,179.500621945989,222.108186430753,143.559227098889
FSU,ALB,999.0,999,999,999,2018,51,3,3: Micronutrients,128.67337529473,172.046685159392,96.5779732893326
MENA,ARE,999.0,999,999,999,2018,51,3,3: Micronutrients,84.8658402288831,96.4745964723986,74.6711910147603
LAC,ARG,999.0,999,999,999,2018,51,3,3: Micronutrients,53.5166045648426,58.5253318889806,48.8137289758136
FSU,ARM,999.0,999,999,999,2018,51,3,3: Micronutrients,121.792325879166,164.013338979274,90.9494532775299
LAC,ATG,999.0,999,999,999,2018,51,3,3: Micronutrients,65.5638914664671,83.3422032016882,51.3325930518852
HIC,AUS,999.0,999,999,999,2018,51,3,3: Micronutrients,82.7619222401031,103.295832646878,66.9916221921292
HIC,AUT,999.0,999,999,999,2018,51,3,3: Micronutrients,96.8889856516798,118.109444652054,79.2602494750003
FSU,AZE,999.0,999,999,999,2018,51,3,3: Micronutrients,104.590479064824,139.758122235143,78.6707646084035
SSA,BDI,999.0,999,999,999,2018,51,3,3: Micronutrients,98.2737276856265,127.254718559826,76.3287515451506
HIC,BEL,999.0,999,999,999,2018,51,3,3: Micronutrients,88.7485451260731,119.395417203509,65.5914757505636
SSA,BEN,999.0,999,999,999,2018,51,3,3: Micronutrients,82.8968791511701,108.366642117151,64.0627593665337
SSA,BFA,999.0,999,999,999,2018,51,3,3: Micronutrients,31.2965583577953,41.3055326962646,23.6643939809071
SAARC,BGD,999.0,999,999,999,2018,51,3,3: Micronutrients,43.2921979840795,45.8151062190079,40.8480176026434
FSU,BGR,999.0,999,999,999,2018,51,3,3: Micronutrients,93.83813839673732,125.195820776201,70.8070904438516
MENA,BHR,999.0,999,999,999,2018,51,3,3: Micronutrients,138.975199492091,175.818747338798,109.016476752066
LAC,BHS,999.0,999,999,999,2018,51,3,3: Micronutrients,59.4259046616562,76.4935218143268,46.1664935735299
FSU,BIH,999.0,999,999,999,2018,51,3,3: Micronutrients,87.0593296993158,117.014107965823,64.8293559101415
FSU,BLR,999.0,999,999,999,2018,51,3,3: Micronutrients,116.33082479462,155.613863746898,86.8996861677379
LAC,BLZ,999.0,999,999,999,2018,51,3,3: Micronutrients,90.7931317080416,114.410593622237,70.9963802238752
LAC,BOL,999.0,999,999,999,2018,51,3,3: Micronutrients,70.9804758268992,84.3861445105215,59.4538293623617
LAC,BRA,999.0,999,999,999,2018,51,3,3: Micronutrients,133.842762551634,156.105494718277,112.675814785537
LAC,BRB,999.0,999,999,999,2018,51,3,3: Micronutrients,73.860613687393,93.1791272610148,57.7041497110404
Asia,BRN,999.0,999,999,999,2018,51,3,3: Micronutrients,41.824534268685,56.4842934139493,32.3728182212305
SAARC,BTN,999.0,999,999,999,2018,51,3,3: Micronutrients,46.883791392838,69.0971189135187,32.9070966030788
SSA,BWA,999.0,999,999,999,2018,51,3,3: Micronutrients,97.0635592730127,126.325741784211,76.2378535373244
SSA,CAF,999.0,999,999,999,2018,51,3,3: Micronutrients,93.9314468571124,121.199406093018,72.818401242919
HIC,CAN,999.0,999,999,999,2018,51,3,3: Micronutrients,114.414504754089,121.124679350063,107.90230860438
HIC,CHE,999.0,999,999,999,2018,51,3,3: Micronutrients,122.289472080567,149.366363625711,100.850448934219
LAC,CHL,999.0,999,999,999,2018,51,3,3: Micronutrients,47.9839661243368,55.6500473936615,41.2767254938583
Asia,CHN,999.0,999,999,999,2018,51,3,3: Micronutrients,84.720734377104,114.188937944701,65.3037077340708
SSA,CIV,999.0,999,999,999,2018,51,3,3: Micronutrients,78.6038749251134,103.511306072901,60.9019733330291
SSA,CMR,999.0,999,999,999,2018,51,3,3: Micronutrients,91.041279363206,101.141612591034,81.9901374453207
SSA,COD,999.0,999,999,999,2018,51,3,3: Micronutrients,99.1353911021601,117.367961169181,84.4273949206648
SSA,COG,999.0,999,999,999,2018,51,3,3: Micronutrients,80.480625338879,105.497633625329,62.7743623532123
LAC,COL,999.0,999,999,999,2018,51,3,3: Micronutrients,71.1599236280091,84.2960953773693,60.2282482220714
SSA,COM,999.0,999,999,999,2018,51,3,3: Micronutrients,97.5434896065912,126.420708249794,76.5505991086488
SSA,CPV,999.0,999,999,999,2018,51,3,3: Micronutrients,132.827582711504,171.579694780178,104.559475302137
LAC,CRI,999.0,999,999,999,2018,51,3,3: Micronutrients,59.7511057568624,76.0109399801879,46.6703511551375
LAC,CUB,999.0,999,999,999,2018,51,3,3: Micronutrients,82.5968003883725,104.877196065205,64.1458494576122
HIC,CYP,999.0,999,999,999,2018,51,3,3: Micronutrients,71.5347800177406,88.1318369755705,58.500468632076
FSU,CZE,999.0,999,999,999,2018,51,3,3: Micronutrients,82.2468413281582,111.583634430069,61.1951855364375
HIC,DEU,999.0,999,999,999,2018,51,3,3: Micronutrients,91.8361727519503,97.2026811042066,86.8933871173869
SSA,DJI,999.0,999,999,999,2018,51,3,3: Micronutrients,103.8713004229,137.513141052389,80.4585445388011
LAC,DMA,999.0,999,999,999,2018,51,3,3: Micronutrients,97.88122856263432,124.105339713963,75.9997690842836
HIC,DNK,999.0,999,999,999,2018,51,3,3: Micronutrients,97.6315436586781,120.194818015965,79.8717527516127
LAC,DOM,999.0,999,999,999,2018,51,3,3: Micronutrients,119.433518580889,147.838724434795,95.41412106498568
MENA,DZA,999.0,999,999,999,2018,51,3,3: Micronutrients,127.779351467538,159.332423567609,101.832794611295
LAC,ECU,999.0,999,999,999,2018,51,3,3: Micronutrients,86.1341146742776,107.907913828346,68.1231642124809
MENA,EGY,999.0,999,999,999,2018,51,3,3: Micronutrients,103.42895384118,130.330711048598,82.484619414616
SSA,ERI,999.0,999,999,999,2018,51,3,3: Micronutrients,95.3724206551579,124.242676977683,75.1922493974793
HIC,ESP,999.0,999,999,999,2018,51,3,3: Micronutrients,76.70606642008,94.0777477008302,62.398868684809
FSU,EST,999.0,999,999,999,2018,51,3,3: Micronutrients,98.0496619315606,107.302253435802,89.7726295314472
SSA,ETH,999.0,999,999,999,2018,51,3,3: Micronutrients,81.9607943146567,97.5558920453244,69.315254916128
HIC,FIN,999.0,999,999,999,2018,51,3,3: Micronutrients,83.0333143864329,105.696059967498,66.0103133423145
Asia,FJI,999.0,999,999,999,2018,51,3,3: Micronutrients,71.2040667797978,97.2544581990616,54.6457028589031
HIC,FRA,999.0,999,999,999,2018,51,3,3: Micronutrients,97.52842617263768,102.022017425991,93.0189475881505
Asia,FSM,999.0,999,999,999,2018,51,3,3: Micronutrients,70.450665161437,95.1902278377533,54.3204131666905
SSA,GAB,999.0,999,999,999,2018,51,3,3: Micronutrients,66.752645089298,87.764354575279,51.7737864393336
HIC,GBR,999.0,999,999,999,2018,51,3,3: Micronutrients,91.3100162328312,107.357156983019,77.5155585208559
FSU,GEO,999.0,999,999,999,2018,51,3,3: Micronutrients,42.2591949102375,58.5974006005271,31.4796689485191
SSA,GHA,999.0,999,999,999,2018,51,3,3: Micronutrients,136.934683641903,159.578109354765,117.351729085188
SSA,GIN,999.0,999,999,999,2018,51,3,3: Micronutrients,75.9617191961491,98.64780710835572,59.0868922385597
SSA,GMB,999.0,999,999,999,2018,51,3,3: Micronutrients,16.2544411262107,21.8869320310551,12.3838080019491
SSA,GNB,999.0,999,999,999,2018,51,3,3: Micronutrients,62.1405336074108,81.071906121652,48.6233231072234
SSA,GNQ,999.0,999,999,999,2018,51,3,3: Micronutrients,98.5431375280148,127.804690025788,76.2993538275962
HIC,GRC,999.0,999,999,999,2018,51,3,3: Micronutrients,88.045539537047,107.763107348397,71.3981782212213
LAC,GRD,999.0,999,999,999,2018,51,3,3: Micronutrients,53.1981131188475,67.5634566879227,41.7434329009549
LAC,GTM,999.0,999,999,999,2018,51,3,3: Micronutrients,56.4064513410915,66.1459279122275,48.4816668887163
LAC,GUY,999.0,999,999,999,2018,51,3,3: Micronutrients,66.6902324383007,84.5785263133855,51.8952825783534
LAC,HND,999.0,999,999,999,2018,51,3,3: Micronutrients,87.6289176442748,109.917075856356,68.8825232046372
FSU,HRV,999.0,999,999,999,2018,51,3,3: Micronutrients,102.456777783001,137.620144524988,77.1803553266631
LAC,HTI,999.0,999,999,999,2018,51,3,3: Micronutrients,77.6113499586154,97.7608328283701,60.7236834981647
FSU,HUN,999.0,999,999,999,2018,51,3,3: Micronutrients,66.9912490085771,90.7744029252969,49.9825623291298
Asia,IDN,999.0,999,999,999,2018,51,3,3: Micronutrients,54.1304873168137,59.065934830137,49.5170578074747
SAARC,IND,999.0,999,999,999,2018,51,3,3: Micronutrients,61.6944439596449,65.3319926170289,58.2180279833009
HIC,IRL,999.0,999,999,999,2018,51,3,3: Micronutrients,117.862671885485,142.366915382025,96.60605100041208
MENA,IRN,999.0,999,999,999,2018,51,3,3: Micronutrients,79.1958008890692,83.82494941591,74.6809031642731
MENA,IRQ,999.0,999,999,999,2018,51,3,3: Micronutrients,98.0987572728484,125.436276921979,76.4224464959875
HIC,ISL,999.0,999,999,999,2018,51,3,3: Micronutrients,93.5573087913305,115.355528302216,75.7119929476006
MENA,ISR,999.0,999,999,999,2018,51,3,3: Micronutrients,100.082973371218,108.193296626062,92.9993438054335
HIC,ITA,999.0,999,999,999,2018,51,3,3: Micronutrients,81.8745204522353,87.3930105031788,76.5140625173995
LAC,JAM,999.0,999,999,999,2018,51,3,3: Micronutrients,85.8506785864217,95.6320784569989,77.182896952875
MENA,JOR,999.0,999,999,999,2018,51,3,3: Micronutrients,138.15128075939,165.072298514927,112.263441757808
Asia,JPN,999.0,999,999,999,2018,51,3,3: Micronutrients,77.8907300213171,88.4016848214433,68.8878039111047
FSU,KAZ,999.0,999,999,999,2018,51,3,3: Micronutrients,130.897377156037,173.856574200957,98.6599261706257
SSA,KEN,999.0,999,999,999,2018,51,3,3: Micronutrients,99.522896668736,120.349509856202,82.914248481886
FSU,KGZ,999.0,999,999,999,2018,51,3,3: Micronutrients,85.662274399156,115.506150647538,64.2720823975644
Asia,KHM,999.0,999,999,999,2018,51,3,3: Micronutrients,68.5901877793541,92.3259441678774,52.6296961687574
Asia,KIR,999.0,999,999,999,2018,51,3,3: Micronutrients,71.2233324560681,96.2154633739976,55.1456254903278
Asia,KOR,999.0,999,999,999,2018,51,3,3: Micronutrients,69.9447247549595,72.7432349757152,67.1841331267744
