superregion2,iso3,age,female,urban,edu,year,varnum,v52_type,v52_type_desc,median,upperci_95,lowerci_95
SAARC,AFG,999.0,999,999,999,2018,52,3,3: Micronutrients,1.59451870999112,2.81929912724174,0.934398927642078
SSA,AGO,999.0,999,999,999,2018,52,3,3: Micronutrients,1.71755613861766,3.65613302937399,0.877239796620055
FSU,ALB,999.0,999,999,999,2018,52,3,3: Micronutrients,5.0636765602551,8.50436581653846,3.23582439849741
MENA,ARE,999.0,999,999,999,2018,52,3,3: Micronutrients,2.19713318940908,3.86023782825823,1.27483192034137
LAC,ARG,999.0,999,999,999,2018,52,3,3: Micronutrients,2.60830707778835,2.88623017820812,2.35985666177768
FSU,ARM,999.0,999,999,999,2018,52,3,3: Micronutrients,4.12928459327145,6.98732675173989,2.64212491661329
LAC,ATG,999.0,999,999,999,2018,52,3,3: Micronutrients,3.39287807951326,5.53215116095994,2.11797368489623
HIC,AUS,999.0,999,999,999,2018,52,3,3: Micronutrients,3.93266106359904,5.88537222093734,2.73186498849318
HIC,AUT,999.0,999,999,999,2018,52,3,3: Micronutrients,3.95234739598051,5.86301147333942,2.81395356742762
FSU,AZE,999.0,999,999,999,2018,52,3,3: Micronutrients,3.74739780460735,6.32363926436813,2.40254740617226
SSA,BDI,999.0,999,999,999,2018,52,3,3: Micronutrients,0.339191546419853,1.07227241616584,0.112383396318065
HIC,BEL,999.0,999,999,999,2018,52,3,3: Micronutrients,3.92324520354555,5.82660649809236,2.74149071469953
SSA,BEN,999.0,999,999,999,2018,52,3,3: Micronutrients,1.88972732869037,3.99785202252605,0.961413622431222
SSA,BFA,999.0,999,999,999,2018,52,3,3: Micronutrients,2.64130607808323,5.51664410037961,1.3451842274376
SAARC,BGD,999.0,999,999,999,2018,52,3,3: Micronutrients,2.37402818621116,2.73237397204167,2.09393279338303
FSU,BGR,999.0,999,999,999,2018,52,3,3: Micronutrients,5.40027267110549,8.71345494664726,3.33398975561065
MENA,BHR,999.0,999,999,999,2018,52,3,3: Micronutrients,0.150697244966718,0.492683608318556,0.0496242757240668
LAC,BHS,999.0,999,999,999,2018,52,3,3: Micronutrients,3.23406905469284,5.2774013317292,2.00774290059886
FSU,BIH,999.0,999,999,999,2018,52,3,3: Micronutrients,4.08718050722344,6.86782506140994,2.61118750806925
FSU,BLR,999.0,999,999,999,2018,52,3,3: Micronutrients,4.17802139359197,6.92619123615697,2.65742890072697
LAC,BLZ,999.0,999,999,999,2018,52,3,3: Micronutrients,2.99179810529144,4.84662723728453,1.87226532708245
LAC,BOL,999.0,999,999,999,2018,52,3,3: Micronutrients,2.23801634581837,3.67081550876067,1.37377061912417
LAC,BRA,999.0,999,999,999,2018,52,3,3: Micronutrients,2.66343413895772,3.30493062007432,2.11122634199877
LAC,BRB,999.0,999,999,999,2018,52,3,3: Micronutrients,3.09736099702014,5.0384817660241,1.93453721354586
Asia,BRN,999.0,999,999,999,2018,52,3,3: Micronutrients,0.41377134739672,1.21154637433065,0.142499275367863
SAARC,BTN,999.0,999,999,999,2018,52,3,3: Micronutrients,0.171684249744454,0.511883576719034,0.0581682745105729
SSA,BWA,999.0,999,999,999,2018,52,3,3: Micronutrients,3.34138093326786,6.72878632998054,1.82190613490794
SSA,CAF,999.0,999,999,999,2018,52,3,3: Micronutrients,2.09256712627346,4.41613322342215,1.07130101457902
HIC,CAN,999.0,999,999,999,2018,52,3,3: Micronutrients,5.9698484965327,6.42953517086733,5.53668499693208
HIC,CHE,999.0,999,999,999,2018,52,3,3: Micronutrients,1.58522074472089,1.92383893746116,1.3188107372751
