superregion2,iso3,age,female,urban,edu,year,varnum,v53_type,v53_type_desc,median,upperci_95,lowerci_95
SAARC,AFG,999.0,999,999,999,2018,53,3,3: Micronutrients,6.42641285825064,9.692949456314732,4.27227047892316
SSA,AGO,999.0,999,999,999,2018,53,3,3: Micronutrients,7.97019990870521,12.1413611096145,5.3838559449833
FSU,ALB,999.0,999,999,999,2018,53,3,3: Micronutrients,15.1717984639958,22.5721948813655,9.45277620597694
MENA,ARE,999.0,999,999,999,2018,53,3,3: Micronutrients,7.37901780348093,10.4390121418715,5.22512941020485
LAC,ARG,999.0,999,999,999,2018,53,3,3: Micronutrients,8.42458342005791,9.06514998066867,7.82613255240241
FSU,ARM,999.0,999,999,999,2018,53,3,3: Micronutrients,16.989936929951,25.1288376417433,10.2645179631828
LAC,ATG,999.0,999,999,999,2018,53,3,3: Micronutrients,14.9845466728511,22.3086092059297,9.75711424787758
HIC,AUS,999.0,999,999,999,2018,53,3,3: Micronutrients,8.63172040108533,11.4021762539045,6.51948855979062
HIC,AUT,999.0,999,999,999,2018,53,3,3: Micronutrients,8.41424498120349,10.996086681262,6.43732439559255
FSU,AZE,999.0,999,999,999,2018,53,3,3: Micronutrients,7.75155780812915,12.8888436615585,4.26123626587591
SSA,BDI,999.0,999,999,999,2018,53,3,3: Micronutrients,9.62792254516447,14.58827685508,6.38543058649523
HIC,BEL,999.0,999,999,999,2018,53,3,3: Micronutrients,9.34798791333297,11.9376257288106,7.21281017365341
SSA,BEN,999.0,999,999,999,2018,53,3,3: Micronutrients,8.84483317335316,13.7501989106369,5.87613078849169
SSA,BFA,999.0,999,999,999,2018,53,3,3: Micronutrients,8.43976107126658,13.4035180720783,5.44490629598814
SAARC,BGD,999.0,999,999,999,2018,53,3,3: Micronutrients,3.62644900552774,3.88006222228576,3.41049989081454
FSU,BGR,999.0,999,999,999,2018,53,3,3: Micronutrients,12.7119740227143,16.4941861786155,9.7363409271006
MENA,BHR,999.0,999,999,999,2018,53,3,3: Micronutrients,14.3138077492469,19.6954537164916,10.2731471975377
LAC,BHS,999.0,999,999,999,2018,53,3,3: Micronutrients,11.5211883454489,17.8485851723646,7.44635353318504
FSU,BIH,999.0,999,999,999,2018,53,3,3: Micronutrients,8.318911849483,12.919516129494,5.05795385160048
FSU,BLR,999.0,999,999,999,2018,53,3,3: Micronutrients,8.81856546134523,13.686835482455,5.2007114892148
LAC,BLZ,999.0,999,999,999,2018,53,3,3: Micronutrients,13.4253234601475,19.3871708958546,8.9707516044264
LAC,BOL,999.0,999,999,999,2018,53,3,3: Micronutrients,4.95148939642428,7.06829458308236,3.55931123337321
LAC,BRA,999.0,999,999,999,2018,53,3,3: Micronutrients,5.66881540039433,6.55373645454194,4.90659641723078
LAC,BRB,999.0,999,999,999,2018,53,3,3: Micronutrients,12.0024380059666,18.7124097020937,7.63166767635561
Asia,BRN,999.0,999,999,999,2018,53,3,3: Micronutrients,17.5944002198097,28.6204392756985,9.75505952565572
SAARC,BTN,999.0,999,999,999,2018,53,3,3: Micronutrients,10.5394823300545,16.1291766969863,6.902042515897
SSA,BWA,999.0,999,999,999,2018,53,3,3: Micronutrients,9.26860494684338,13.9545452989674,6.23408729423496
SSA,CAF,999.0,999,999,999,2018,53,3,3: Micronutrients,10.3589278009128,15.7483532068383,6.92807465836741
HIC,CAN,999.0,999,999,999,2018,53,3,3: Micronutrients,8.13432477961706,10.6151574893703,6.2019833465737
HIC,CHE,999.0,999,999,999,2018,53,3,3: Micronutrients,7.12868619246264,9.3994801796831,5.41912187418575
LAC,CHL,999.0,999,999,999,2018,53,3,3: Micronutrients,4.14199734296875,4.82660721547903,3.59098938160475
Asia,CHN,999.0,999,999,999,2018,53,3,3: Micronutrients,8.76389477459401,16.2269294357267,5.04012107172016
SSA,CIV,999.0,999,999,999,2018,53,3,3: Micronutrients,7.24982833460633,11.1160412774402,4.91674647045502
SSA,CMR,999.0,999,999,999,2018,53,3,3: Micronutrients,1.8499509656819,2.31522566954941,1.49240493463684
SSA,COD,999.0,999,999,999,2018,53,3,3: Micronutrients,5.22663545068086,6.80312034799716,4.14904989569782
SSA,COG,999.0,999,999,999,2018,53,3,3: Micronutrients,8.88417302534252,13.7568019303051,5.79053298404993
LAC,COL,999.0,999,999,999,2018,53,3,3: Micronutrients,4.86029853415466,6.98572215902923,3.46958665589846
SSA,COM,999.0,999,999,999,2018,53,3,3: Micronutrients,11.3498333351973,17.1306103555729,7.45388648145505
SSA,CPV,999.0,999,999,999,2018,53,3,3: Micronutrients,11.8324192231967,17.8708958185813,7.69137895728492
LAC,CRI,999.0,999,999,999,2018,53,3,3: Micronutrients,5.28158294224699,7.51141960157614,3.77607114926297
LAC,CUB,999.0,999,999,999,2018,53,3,3: Micronutrients,7.25894090112971,10.5516145702371,5.22343082495547
HIC,CYP,999.0,999,999,999,2018,53,3,3: Micronutrients,11.7299248338707,16.22811729856,8.35508369665814
FSU,CZE,999.0,999,999,999,2018,53,3,3: Micronutrients,9.49126184321898,14.5192862229315,5.84855212014176
HIC,DEU,999.0,999,999,999,2018,53,3,3: Micronutrients,9.01941771416289,9.67471491768088,8.38303508006699
SSA,DJI,999.0,999,999,999,2018,53,3,3: Micronutrients,11.4518860927314,17.4563959118452,7.57924587765767
LAC,DMA,999.0,999,999,999,2018,53,3,3: Micronutrients,14.5173750851548,22.2290010478726,9.06506388768214
HIC,DNK,999.0,999,999,999,2018,53,3,3: Micronutrients,8.97588533374274,12.0651756169923,6.67854195175761
LAC,DOM,999.0,999,999,999,2018,53,3,3: Micronutrients,4.24412298345428,6.26957103558401,2.98522144678457
MENA,DZA,999.0,999,999,999,2018,53,3,3: Micronutrients,6.15583891472046,8.73505571780492,4.35931394437608
LAC,ECU,999.0,999,999,999,2018,53,3,3: Micronutrients,4.621473702621,6.72322176715099,3.29078743286683
MENA,EGY,999.0,999,999,999,2018,53,3,3: Micronutrients,7.66179488780395,10.872427662725,5.48624322283864
SSA,ERI,999.0,999,999,999,2018,53,3,3: Micronutrients,9.674759863343413,14.5087940896347,6.58814959327331
HIC,ESP,999.0,999,999,999,2018,53,3,3: Micronutrients,7.73777018638375,10.1923970294525,5.90889445601566
FSU,EST,999.0,999,999,999,2018,53,3,3: Micronutrients,8.72293498207436,9.496997886043992,8.05589431432222
SSA,ETH,999.0,999,999,999,2018,53,3,3: Micronutrients,5.86061774588195,9.30708310851008,3.88876875418934
HIC,FIN,999.0,999,999,999,2018,53,3,3: Micronutrients,8.17554301682419,9.517238417660367,7.08833515936021
Asia,FJI,999.0,999,999,999,2018,53,3,3: Micronutrients,17.1198066855349,27.2920419644763,9.89227577886226
HIC,FRA,999.0,999,999,999,2018,53,3,3: Micronutrients,11.1340725445438,11.7788246160478,10.552608666474
Asia,FSM,999.0,999,999,999,2018,53,3,3: Micronutrients,23.3611859343198,31.5214352122331,13.8665428662546
SSA,GAB,999.0,999,999,999,2018,53,3,3: Micronutrients,12.0997484729718,18.1955277051441,8.03367690440964
HIC,GBR,999.0,999,999,999,2018,53,3,3: Micronutrients,4.11306540272453,4.7349139509003,3.57543141598548
FSU,GEO,999.0,999,999,999,2018,53,3,3: Micronutrients,11.5769407365582,18.0406573151405,6.74136244527891
SSA,GHA,999.0,999,999,999,2018,53,3,3: Micronutrients,10.6150799712287,12.9964969690227,8.89548647070289
SSA,GIN,999.0,999,999,999,2018,53,3,3: Micronutrients,7.38217986400721,11.8386110351358,4.86528967509362
SSA,GMB,999.0,999,999,999,2018,53,3,3: Micronutrients,9.73527676201394,14.9438939461921,6.34104005851586
SSA,GNB,999.0,999,999,999,2018,53,3,3: Micronutrients,11.8540353927592,17.9870353019663,7.71657395101126
