Region,Year,Median
Asia,1990,417.79593
Asia,1995,441.62509
Asia,2000,479.3999
Asia,2005,504.43588
Asia,2010,528.47784
Asia,2015,528.05402
Asia,2018,520.48169
FSU,1990,920.1286
FSU,1995,843.18152
FSU,2000,1044.4847
FSU,2005,1112.3511
FSU,2010,1145.548
FSU,2015,1137.3381
FSU,2018,1169.7539
HIC,1990,607.62415
HIC,1995,626.91437
HIC,2000,718.05225
HIC,2005,746.59473
HIC,2010,768.38416
HIC,2015,767.7182
HIC,2018,766.13684
LAC,1990,748.15344
LAC,1995,711.98627
LAC,2000,787.5274
LAC,2005,816.44696
LAC,2010,849.11841
LAC,2015,872.59906
LAC,2018,869.59076
MENA,1990,793.09686
MENA,1995,809.12836
MENA,2000,886.68726
MENA,2005,912.86511
MENA,2010,936.01147
MENA,2015,954.87006
MENA,2018,939.33746
SAARC,1990,377.57858
SAARC,1995,363.51846
SAARC,2000,390.40784
SAARC,2005,364.53253
SAARC,2010,392.00259
SAARC,2015,374.79398
SAARC,2018,368.83716
SSA,1990,1537.7867
SSA,1995,1548.3922
SSA,2000,1610.1256
SSA,2005,1704.2026
SSA,2010,1695.1019
SSA,2015,1834.3235
SSA,2018,1801.858
