Region,Year,Median
SAARC,1990,1.0729114
SAARC,1995,1.0932425
SAARC,2000,1.1038362
SAARC,2005,1.130335
SAARC,2010,1.1535836
SAARC,2015,1.1280044
SAARC,2018,1.1341175
SAARC,2020,1.1440144
SSA,1990,2.0562437
SSA,1995,2.075645
SSA,2000,2.0953162
SSA,2005,2.1222022
SSA,2010,2.1538396
SSA,2015,2.1330569
SSA,2018,2.1259873
SSA,2020,2.1403751
FSU,1990,3.7804189
FSU,1995,3.8001964
FSU,2000,3.7810433
FSU,2005,3.8341389
FSU,2010,3.8455944
FSU,2015,3.8324301
FSU,2018,3.8298426
FSU,2020,3.8283429
MENA,1990,3.03268
MENA,1995,3.1048117
MENA,2000,3.1912885
MENA,2005,3.2594666
MENA,2010,3.3439739
MENA,2015,3.3374338
MENA,2018,3.3403747
MENA,2020,3.3568234
LAC,1990,3.7618232
LAC,1995,3.8366661
LAC,2000,3.8877621
LAC,2005,3.8972058
LAC,2010,3.9224129
LAC,2015,3.8787048
LAC,2018,3.8684835
LAC,2020,3.8691232
HIC,1990,4.5918164
HIC,1995,4.5955682
HIC,2000,4.6106172
HIC,2005,4.6359787
HIC,2010,4.6119556
HIC,2015,4.5939274
HIC,2018,4.6104326
HIC,2020,4.6137953
Asia,1990,3.3755791
Asia,1995,3.4431288
Asia,2000,3.4744129
Asia,2005,3.5046558
Asia,2010,3.5433474
Asia,2015,3.4576838
Asia,2018,3.4509897
Asia,2020,3.4558897
