Region,Year,Median
Asia,1990,34.129051
Asia,1995,43.335896
Asia,2000,60.128197
Asia,2005,69.363457
Asia,2010,77.306145
Asia,2015,76.872391
Asia,2018,77.10788
FSU,1990,72.5392
FSU,1995,74.048645
FSU,2000,77.063057
FSU,2005,94.797989
FSU,2010,101.5965
FSU,2015,105.27449
FSU,2018,105.7766
HIC,1990,91.017693
HIC,1995,89.254906
HIC,2000,99.950706
HIC,2005,92.11644
HIC,2010,90.441322
HIC,2015,90.04409
HIC,2018,90.095192
LAC,1990,70.866348
LAC,1995,83.978027
LAC,2000,93.386581
LAC,2005,88.32093
LAC,2010,104.97088
LAC,2015,101.48137
LAC,2018,101.42506
MENA,1990,75.36467
MENA,1995,75.074806
MENA,2000,77.512077
MENA,2005,87.320023
MENA,2010,93.605743
MENA,2015,94.336365
MENA,2018,94.731247
SAARC,1990,15.455633
SAARC,1995,30.22477
SAARC,2000,38.888363
SAARC,2005,35.431057
SAARC,2010,57.483017
SAARC,2015,53.75819
SAARC,2018,53.909313
SSA,1990,80.703392
SSA,1995,88.233261
SSA,2000,89.134422
SSA,2005,85.808701
SSA,2010,86.449059
SSA,2015,90.657257
SSA,2018,91.560165
