Region,Year,Median
Asia,1990,2.6457229
Asia,1995,3.1065388
Asia,2000,3.3611014
Asia,2005,3.8360023
Asia,2010,4.2465582
Asia,2015,4.3012991
Asia,2018,4.3753028
FSU,1990,3.4275222
FSU,1995,3.5042377
FSU,2000,3.5454943
FSU,2005,3.6726174
FSU,2010,3.7941558
FSU,2015,3.8518932
FSU,2018,3.9076397
HIC,1990,3.5294168
HIC,1995,3.5848935
HIC,2000,3.6804991
HIC,2005,3.7201703
HIC,2010,3.7282498
HIC,2015,3.7359924
HIC,2018,3.7816947
LAC,1990,2.5820475
LAC,1995,2.6979806
LAC,2000,2.7216158
LAC,2005,2.6981044
LAC,2010,2.8014896
LAC,2015,2.7499821
LAC,2018,2.6852362
MENA,1990,1.4194282
MENA,1995,1.3695056
MENA,2000,1.426789
MENA,2005,1.456934
MENA,2010,1.5039783
MENA,2015,1.4848053
MENA,2018,1.4881667
SAARC,1990,1.6132305
SAARC,1995,1.6992083
SAARC,2000,1.7884049
SAARC,2005,1.8835227
SAARC,2010,2.0444536
SAARC,2015,2.0959582
SAARC,2018,2.2102089
SSA,1990,2.374505
SSA,1995,2.276777
SSA,2000,2.2078698
SSA,2005,2.3644426
SSA,2010,2.42608
SSA,2015,2.3916106
SSA,2018,2.3683755
