Region,Year,Median
Asia,1990,10.740672
Asia,1995,11.256329
Asia,2000,10.781086
Asia,2005,10.83335
Asia,2010,11.118851
Asia,2015,9.8070269
Asia,2018,10.266667
FSU,1990,12.178975
FSU,1995,12.826239
FSU,2000,12.351577
FSU,2005,12.284823
FSU,2010,11.9522
FSU,2015,11.348953
FSU,2018,11.507279
HIC,1990,7.6553397
HIC,1995,8.4079428
HIC,2000,7.7956491
HIC,2005,7.8356833
HIC,2010,8.00912
HIC,2015,7.7824826
HIC,2018,7.8320155
LAC,1990,6.1059527
LAC,1995,6.4297705
LAC,2000,6.1183748
LAC,2005,6.0898995
LAC,2010,5.9857893
LAC,2015,5.7035775
LAC,2018,5.7358985
MENA,1990,8.2088518
MENA,1995,8.7813044
MENA,2000,7.9614959
MENA,2005,8.314992
MENA,2010,8.4483871
MENA,2015,8.2343931
MENA,2018,8.245697
SAARC,1990,9.8361835
SAARC,1995,10.089551
SAARC,2000,9.6645746
SAARC,2005,9.5631065
SAARC,2010,9.7888803
SAARC,2015,9.3234148
SAARC,2018,9.563756
SSA,1990,9.5162735
SSA,1995,9.3245134
SSA,2000,9.2348948
SSA,2005,9.0924129
SSA,2010,8.8387318
SSA,2015,8.8780556
SSA,2018,8.910799
